"ran","timestamp","path","R.version","platform","running","data.table","gdistance","Matrix","igraph","rgdal","raster","sp","malariaAtlas","ggplot2","lubridate","dplyr","doParallel","iterators","foreach","rgeos","wpgpDownloadR","RCurl","bitops","forcats","stringr","purrr","readr","tidyr","tibble","tidyverse","glue","triangle","doRNG","rngtools","pkgmaker","registry","magrittr","cowplot","patchwork","lme4","stringdist","beepr","rjags","coda","microbenchmark","rasterVis","latticeExtra","RColorBrewer","lattice","doMPI","Rmpi","rmapshaper","here","knitr","ggmcmc","ggforce","ggridges"
"##------ Tue Feb 11 14:29:58 2020 ------##",2020-02-11 14:29:58,"R/01_gis/01_process_rasters.R","R version 3.6.1 (2019-07-05)","x86_64-apple-darwin15.6.0 (64-bit)","macOS Mojave 10.14.6","1.12.4","1.2-2","1.2-17","1.2.4.1","1.4-6","3.0-7","1.3-1","0.0.4","3.2.1","","","","","","","","","","","","","","","","","",NA,"",NA,NA,"",NA,"","","","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",""
"##------ Tue Feb 11 14:34:13 2020 ------##",2020-02-11 14:34:13,"R/01_gis/03_aggregate_pop.R","R version 3.6.1 (2019-07-05)","x86_64-apple-darwin15.6.0 (64-bit)","macOS Mojave 10.14.6","1.12.4","","","","","3.0-7","1.3-1","","","","","","","","","","","","","","","","","","","",NA,"",NA,NA,"",NA,"","","","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",""
"##------ Thu Feb 13 11:49:15 2020 ------##",2020-02-13 11:49:15,"R/05_predictions/01_burden_incremental.R","R version 3.6.1 (2019-07-05)","x86_64-apple-darwin15.6.0 (64-bit)","macOS Mojave 10.14.6","1.12.4","","1.2-17","","1.4-6","","1.3-1","","3.2.1","","0.8.3","1.0.15","1.0.12","1.4.7","","","","","0.4.0","1.4.0","0.3.2","1.3.1","1.0.0","2.1.3","1.2.1","1.3.1","0.12","1.7.1","1.4","0.27","0.5-1","1.5","1.0.0","1.0.0.9000","1.1-21","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",""
"##------ Thu Feb 13 12:40:19 2020 ------##",2020-02-13 12:40:19,"R/02_bitedata/01_match_names.R","R version 3.6.1 (2019-07-05)","x86_64-apple-darwin15.6.0 (64-bit)","macOS Mojave 10.14.6","1.12.4","","","","1.4-6","","1.3-1","","","","0.8.3","","","","","","","","","","","","","","","",NA,"",NA,NA,"",NA,"","","","0.9.5.2",NA,"","","",NA,"","","","","","",NA,NA,NA,"",""
"##------ Thu Feb 13 12:40:54 2020 ------##",2020-02-13 12:40:54,"R/02_bitedata/02_output_processed.R","R version 3.6.1 (2019-07-05)","x86_64-apple-darwin15.6.0 (64-bit)","macOS Mojave 10.14.6","1.12.4","","","","1.4-6","","1.3-1","","","1.7.4","0.8.3","","","","","","","","","","","","","","","",NA,"",NA,NA,"",NA,"","","","0.9.5.2",NA,"","","",NA,"","","","","","",NA,NA,NA,"",""
"##------ Thu Feb 13 13:07:59 2020 ------##",2020-02-13 13:07:59,"R/02_bitedata/03_estimate_biteinc.R","R version 3.6.1 (2019-07-05)","x86_64-apple-darwin15.6.0 (64-bit)","macOS Mojave 10.14.6","1.12.4","","","","1.4-6","3.0-7","1.3-1","","3.2.1","1.7.4","0.8.3","","","","0.5-2","","","","0.4.0","1.4.0","0.3.2","1.3.1","1.0.0","2.1.3","1.2.1","",NA,"",NA,NA,"",NA,"","","","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",""
"##------ Sat Feb 15 16:35:48 2020 ------##",2020-02-15 16:35:48,"R/04_addclinics/03_ttimes_max.R","R version 3.6.1 (2019-07-05)","x86_64-apple-darwin15.6.0 (64-bit)","macOS Mojave 10.14.6","1.12.4","1.2-2","1.2-17","1.2.4.1","1.4-6","3.0-7","1.3-1","","3.2.1","","0.8.3","1.0.15","1.0.12","1.4.7","","","","","0.4.0","1.4.0","0.3.2","1.3.1","1.0.0","2.1.3","1.2.1","",NA,"",NA,NA,"",NA,"","","","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",""
"##------ Sun Feb 16 00:04:05 2020 ------##",2020-02-16 00:04:05,"R/04_addclinics/04_postprocess_ttimes.R","R version 3.6.1 (2019-07-05)","x86_64-apple-darwin15.6.0 (64-bit)","macOS Mojave 10.14.6","1.12.4","","","","1.4-6","","1.3-1","","","","","","","","","","","","","","","","","","","",NA,"",NA,NA,"",NA,"","","","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",""
"##------ Sun Feb 16 12:19:28 2020 ------##",2020-02-16 12:19:28,"R/01_gis/04_run_baseline.R","R version 3.6.1 (2019-07-05)","x86_64-apple-darwin15.6.0 (64-bit)","macOS Mojave 10.14.6","1.12.4","1.2-2","1.2-17","1.2.4.1","1.4-6","3.0-7","1.3-1","","","1.7.4","0.8.3","1.0.15","1.0.12","1.4.7","","","","","","","","","","","","",NA,"",NA,NA,"",NA,"","","","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",""
"##------ Mon Mar  2 15:49:22 2020 ------##",2020-03-02 15:49:22,"R/01_gis/05_make_shapefiles.R","R version 3.6.1 (2019-07-05)","x86_64-apple-darwin15.6.0 (64-bit)","macOS Mojave 10.14.6","1.12.4","","","","1.4-6","3.0-7","1.3-1","","","","0.8.3","","","","0.5-2","","","","","","","","","","","",NA,"",NA,NA,"",NA,"","","","",NA,"","","",NA,"","","","","","0.4.3",NA,NA,NA,"",""
"##------ Sun Mar 15 21:18:12 2020 ------##",2020-03-15 21:18:12,"R/03_bitemodels/03_get_modpreds.R","R version 3.6.1 (2019-07-05)","x86_64-apple-darwin15.6.0 (64-bit)","macOS Mojave 10.14.6","1.12.4","","","","","","","","3.2.1","","0.8.3","","1.0.12","1.4.7","","","","","0.4.0","1.4.0","0.3.2","1.3.1","1.0.0","2.1.3","1.2.1","1.3.1",NA,"",NA,NA,"",NA,"","","","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",""
"##------ Mon Mar 16 14:23:07 2020 ------##",2020-03-16 14:23:07,"R/figures/SM3_bitemods.R","R version 3.6.1 (2019-07-05)","x86_64-apple-darwin15.6.0 (64-bit)","macOS Mojave 10.14.6","1.12.4","","","","1.4-6","","1.3-1","","3.2.1","1.7.4","0.8.3","1.0.15","1.0.12","1.4.7","","","","","0.4.0","1.4.0","0.3.2","1.3.1","1.0.0","2.1.3","1.2.1","1.3.1",NA,"1.7.1","1.4","0.27","0.5-1",NA,"1.0.0","1.0.0.9000","","",NA,"4-9","0.19-3","",NA,"","","","","","",NA,NA,"1.3","",""
"##------ Sun Mar 22 21:28:51 2020 ------##",2020-03-22 21:28:51,"R/figures/SM6_burden_se.R","R version 3.6.1 (2019-07-05)","x86_64-apple-darwin15.6.0 (64-bit)","macOS Mojave 10.14.6","1.12.4","","","","","","","","3.2.1","","0.8.3","","","","","","","","0.4.0","1.4.0","0.3.2","1.3.1","1.0.0","2.1.3","1.2.1","",NA,"",NA,NA,"",NA,"1.0.0","1.0.0.9000","","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",""
"##------ Mon Mar 23 15:06:34 2020 ------##",2020-03-23 15:06:34,"R/figures/SM6_scaling_se.R","R version 3.6.1 (2019-07-05)","x86_64-apple-darwin15.6.0 (64-bit)","macOS Mojave 10.14.6","1.12.4","","","","1.4-6","","1.3-1","","3.2.1","","0.8.3","","1.0.12","1.4.7","","","","","0.4.0","1.4.0","0.3.2","1.3.1","1.0.0","2.1.3","1.2.1","","0.12","",NA,NA,"",NA,"1.0.0","1.0.0.9000","","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",""
"##------ Tue Mar 31 10:41:05 2020 ------##",2020-03-31 10:41:05,"R/figures/SM4_exprange.R","R version 3.6.1 (2019-07-05)","x86_64-apple-darwin15.6.0 (64-bit)","macOS Mojave 10.14.6","1.12.4","","","","","","","","3.2.1","","0.8.3","","1.0.12","1.4.7","","","","","0.4.0","1.4.0","0.3.2","1.3.1","1.0.0","2.1.3","1.2.1","",NA,"1.7.1","1.4","0.27","0.5-1","1.5","1.0.0","","","",NA,"","","",NA,"","","","","","",NA,NA,NA,"",""
