ran,timestamp,path,R.version,platform,running,data.table,gdistance,Matrix,igraph,rgdal,raster,sp,malariaAtlas,ggplot2,lubridate,dplyr,doParallel,iterators,foreach,rgeos,wpgpDownloadR,RCurl,bitops,forcats,stringr,purrr,readr,tidyr,tibble,tidyverse,glue,triangle,doRNG,rngtools,pkgmaker,registry,magrittr,cowplot,patchwork,lme4,stringdist,beepr,rjags,coda,microbenchmark,rasterVis,latticeExtra,RColorBrewer,lattice,doMPI,Rmpi,rmapshaper,here,knitr,ggmcmc,ggforce,ggridges,jobtime,geosphere,ggsn,jobtime_mins,max_mem_mb,plotly,sf,fasterize
##------ Tue Feb 11 14:29:58 2020 ------##,20200211_142958,R/01_gis/01_process_rasters.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,0.0.4,3.2.1,"","","","","","","","","","","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Tue Feb 11 14:34:13 2020 ------##,20200211_143413,R/01_gis/03_aggregate_pop.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","","",3.0-7,1.3-1,"","","","","","","","","","","","","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Tue Feb 11 14:52:47 2020 ------##,20200211_145247,R/01_gis/04_run_baseline.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"","",1.7.4,0.8.3,1.0.15,1.0.12,1.4.7,"","","","","","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Tue Feb 11 14:57:29 2020 ------##,20200211_145729,R/01_gis/05_make_shapefiles.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"","","",0.8.3,"","","",0.5-2,"","","","","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Wed Feb 12 10:46:18 2020 ------##,20200212_104618,R/04_addclinics/04_postprocess_ttimes.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"","","","","","","","",0.1.0,1.95-4.12,1.0-6,"","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Wed Feb 12 10:47:19 2020 ------##,20200212_104719,R/04_addclinics/04_postprocess_ttimes.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"","","","","","","","",0.1.0,1.95-4.12,1.0-6,"","","","","","","","",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Wed Feb 12 11:35:52 2020 ------##,20200212_113552,R/04_addclinics/03_ttimes_max.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"",3.2.1,"",0.8.3,1.0.15,1.0.12,1.4.7,"",0.1.0,1.95-4.12,1.0-6,0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Wed Feb 12 11:48:30 2020 ------##,20200212_114830,R/04_addclinics/04_postprocess_ttimes.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,"",3.2.1,"",0.8.3,1.0.15,1.0.12,1.4.7,"",0.1.0,1.95-4.12,1.0-6,0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"",,"",,,"",,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Wed Feb 12 20:24:18 2020 ------##,20200212_202418,R/04_addclinics/04_postprocess_ttimes.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,1.0.15,1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,0.12,1.7.1,1.4,0.27,0.5-1,1.5,"","","","",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
##------ Thu Feb 13 11:06:00 2020 ------##,20200213_110600,R/05_predictions/01_burden_incremental.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"",1.2-17,"",1.4-6,"",1.3-1,"",3.2.1,"",0.8.3,1.0.15,1.0.12,1.4.7,"","","","",0.4.0,1.4.0,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,1.3.1,0.12,1.7.1,1.4,0.27,0.5-1,1.5,1.0.0,1.0.0.9000,1.1-21,"",,"","","",,"","","","","","",,,,"","",,"","",,,"","",""
