pkgs,version,source
data.table,1.12.4,https://cran.r-project.org/src/contrib/Archive/data.table/data.table_1.12.4.tar.gz
gdistance,1.2-2,https://cran.r-project.org/src/contrib/Archive/gdistance/gdistance_1.2-2.tar.gz
Matrix,1.2-17,https://cran.r-project.org/src/contrib/Archive/Matrix/Matrix_1.2-17.tar.gz
igraph,1.2.4.1,https://cran.r-project.org/src/contrib/Archive/igraph/igraph_1.2.4.1.tar.gz
rgdal,1.4-6,https://cran.r-project.org/src/contrib/Archive/rgdal/rgdal_1.4-6.tar.gz
raster,3.0-7,https://cran.r-project.org/src/contrib/Archive/raster/raster_3.0-7.tar.gz
sp,1.3-1,https://cran.r-project.org/src/contrib/Archive/sp/sp_1.3-1.tar.gz
malariaAtlas,0.0.4,https://cran.r-project.org/src/contrib/Archive/malariaAtlas/malariaAtlas_0.0.4.tar.gz
ggplot2,3.2.1,https://cran.r-project.org/src/contrib/Archive/ggplot2/ggplot2_3.2.1.tar.gz
dplyr,0.8.3,https://cran.r-project.org/src/contrib/Archive/dplyr/dplyr_0.8.3.tar.gz
doParallel,1.0.15,https://cran.r-project.org/src/contrib/doParallel_1.0.15.tar.gz
iterators,1.0.12,https://cran.r-project.org/src/contrib/iterators_1.0.12.tar.gz
foreach,1.4.7,https://cran.r-project.org/src/contrib/Archive/foreach/foreach_1.4.7.tar.gz
forcats,0.4.0,https://cran.r-project.org/src/contrib/Archive/forcats/forcats_0.4.0.tar.gz
stringr,1.4.0,https://cran.r-project.org/src/contrib/stringr_1.4.0.tar.gz
purrr,0.3.2,https://cran.r-project.org/src/contrib/Archive/purrr/purrr_0.3.2.tar.gz
readr,1.3.1,https://cran.r-project.org/src/contrib/readr_1.3.1.tar.gz
tidyr,1.0.0,https://cran.r-project.org/src/contrib/Archive/tidyr/tidyr_1.0.0.tar.gz
tibble,2.1.3,https://cran.r-project.org/src/contrib/Archive/tibble/tibble_2.1.3.tar.gz
tidyverse,1.2.1,https://cran.r-project.org/src/contrib/Archive/tidyverse/tidyverse_1.2.1.tar.gz
glue,1.3.1,https://cran.r-project.org/src/contrib/Archive/glue/glue_1.3.1.tar.gz
triangle,0.12,https://cran.r-project.org/src/contrib/triangle_0.12.tar.gz
doRNG,1.7.1,https://cran.r-project.org/src/contrib/Archive/doRNG/doRNG_1.7.1.tar.gz
rngtools,1.4,https://cran.r-project.org/src/contrib/Archive/rngtools/rngtools_1.4.tar.gz
pkgmaker,0.27,https://cran.r-project.org/src/contrib/Archive/pkgmaker/pkgmaker_0.27.tar.gz
registry,0.5-1,https://cran.r-project.org/src/contrib/registry_0.5-1.tar.gz
magrittr,1.5,https://cran.r-project.org/src/contrib/magrittr_1.5.tar.gz
cowplot,1.0.0,https://cran.r-project.org/src/contrib/cowplot_1.0.0.tar.gz
patchwork,1.0.0.9000,https://github.com/thomasp85/patchwork
lme4,1.1-21,https://cran.r-project.org/src/contrib/lme4_1.1-21.tar.gz
stringdist,0.9.5.2,https://cran.r-project.org/src/contrib/Archive/stringdist/stringdist_0.9.5.2.tar.gz
lubridate,1.7.4,https://cran.r-project.org/src/contrib/lubridate_1.7.4.tar.gz
rgeos,0.5-2,https://cran.r-project.org/src/contrib/rgeos_0.5-2.tar.gz
rmapshaper,0.4.3,https://cran.r-project.org/src/contrib/Archive/rmapshaper/rmapshaper_0.4.3.tar.gz
rjags,4.10,https://cran.r-project.org/src/contrib/Archive/rjags/rjags_4-9.tar.gz
coda,0.19-3,https://cran.r-project.org/src/contrib/coda_0.19-3.tar.gz
ggmcmc,1.3,https://cran.r-project.org/src/contrib/Archive/ggmcmc/ggmcmc_1.3.tar.gz
