district,name,match,min_dist,match1,match2,match3,match4,match5,match6,match7,match8,match9,match10,match11,match12,match13,match14,match15,match16,match17,match18,match19,match20,match21,match22,match23,match24,match25,match26,match27,match28,match29,match30,match31,match32,match33,match34,match35,match36,match37,match38,match39,match40,match41,match42,match43,match44,match45
MDG11101,6/eme,6e/arrondissement,2,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,suise,,2,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,cua,,2,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,iii,3e/arrondissement,2,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,3¥Ë_¥Ë_/arrondissement,3e/arrondissement,2,3e/arrondissement,1er/arrondissement,2e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,tana,mahajanga/i,3,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,an/vo,mahajanga/i,3,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,itaosy,Antananarivo Atsimondrano,4,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,europeen,,5,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG11101,ambanidia,2e/arrondissement,5,1er/arrondissement,2e/arrondissement,3e/arrondissement,4e/arrondissement,5e/arrondissement,6e/arrondissement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
