names_tomatch,match,notes,fixed_best,min_fixed,partial_best,min_partial,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114
anta-renivohitra,antananarivo renivohitra,,antanifotsy,8,antananarivo renivohitra,5,antanifotsy,antananarivo renivohitra,ambositra,mananara-avaratra,antsohihy,benenitra,antsiranana ii,antsiranana i,antalaha,manjakandriana,andramasina,antsirabe i,antsirabe ii,arivonimamo,fenoarivobe,manandriana,ivohibe,maroantsetra,vavatenina,mandritsara,analalava,antsalova,ankazobe,mandoto,miarinarivo,soavinandriana,fianarantsoa i,ambohimahasoa,lalangina,isandra,fandriana,ifanadiana,nosy-varika,mananjary,iakora,mahanoro,amparafaravola,ambatondrazaka,andilamena,anosibe-an'ala,marovoay,kandreho,ambatomainty,maintirano,morafenobe,beroroha,ankazoabo,sakaraha,beloha,betroka,ambanja,andapa,vohemar,anjozorobe,betafo,ambatolampy,faratsiho,ambalavao,ikalamavony,vohibato,manakara atsimo,vohipeno,farafangana,vangaindrano,befotaka,toamasina i,vatomandry,marolambo,toamasina ii,sainte marie,fenerive est,soanierana ivongo,moramanga,mahajanga i,ambato boeni,mitsinjo,mahajanga ii,bealanana,mampikony,maevatanana,tsaratanana,ampanihy ouest,toliary-ii,tsihombe,taolagnaro,manja,morondava,miandrivazo,ambilobe,sambava,antananarivo avaradrano,ambohidratrimo,tsiroanomandidy,ambatofinandrahana,ikongo,ihosy,vondrozo,brickaville,soalala,befandriana nord,toliary-i,morombe,betioky atsimo,bekily,amboasary-atsimo,mahabo,nosy-be,antananarivo atsimondrano,midongy-atsimo,besalampy,ambovombe-androy,antanambao manampontsy,belo sur tsiribihina,port-berge (boriziny-vaovao)
anta-avaradrano,antananarivo avaradrano,,vangaindrano,8,antananarivo avaradrano,5,vangaindrano,mananara-avaratra,antananarivo avaradrano,manjakandriana,ambalavao,manakara atsimo,amparafaravola,analalava,maevatanana,tsaratanana,antsiranana i,antalaha,ambohidratrimo,andramasina,antsirabe i,antsirabe ii,soavinandriana,manandriana,ifanadiana,nosy-varika,farafangana,ambatondrazaka,antsalova,maintirano,ankazoabo,sakaraha,taolagnaro,antsiranana ii,antanifotsy,faratsiho,arivonimamo,miarinarivo,fianarantsoa i,ambohimahasoa,ikalamavony,isandra,ambatofinandrahana,fandriana,mananjary,vondrozo,toamasina i,vatomandry,mahanoro,vavatenina,andilamena,anosibe-an'ala,mahajanga i,mandritsara,bealanana,kandreho,amboasary-atsimo,miandrivazo,andapa,ankazobe,anjozorobe,antananarivo atsimondrano,betafo,ambatolampy,mandoto,lalangina,vohibato,ambositra,vohipeno,iakora,marolambo,toamasina ii,sainte marie,maroantsetra,soanierana ivongo,moramanga,soalala,ambato boeni,marovoay,mahajanga ii,antsohihy,ambatomainty,toliary-i,betioky atsimo,toliary-ii,betroka,mahabo,ambanja,sambava,tsiroanomandidy,fenoarivobe,midongy-atsimo,befotaka,brickaville,mitsinjo,befandriana nord,mampikony,besalampy,morafenobe,beroroha,ampanihy ouest,benenitra,ambovombe-androy,manja,morondava,vohemar,antananarivo renivohitra,ikongo,ivohibe,antanambao manampontsy,fenerive est,morombe,beloha,tsihombe,ambilobe,nosy-be,ihosy,bekily,belo sur tsiribihina,port-berge (boriziny-vaovao)
anta-atsimondrano,antananarivo atsimondrano,,vangaindrano,8,antananarivo atsimondrano,5,vangaindrano,antananarivo atsimondrano,manjakandriana,andramasina,maintirano,antsiranana i,antananarivo avaradrano,antanifotsy,faratsiho,arivonimamo,soavinandriana,ambatofinandrahana,manandriana,toamasina i,vatomandry,ambatondrazaka,andilamena,tsaratanana,antsalova,ankazoabo,antsiranana ii,antalaha,antsirabe i,antsirabe ii,miarinarivo,fianarantsoa i,ambalavao,lalangina,isandra,ambositra,fandriana,ifanadiana,manakara atsimo,farafangana,midongy-atsimo,vondrozo,mahanoro,toamasina ii,maroantsetra,vavatenina,ambato boeni,mitsinjo,mandritsara,analalava,antsohihy,bealanana,maevatanana,kandreho,taolagnaro,ambohidratrimo,ankazobe,anjozorobe,ambatolampy,mandoto,tsiroanomandidy,ambohimahasoa,ikalamavony,mananjary,ikongo,iakora,sainte marie,mananara-avaratra,soanierana ivongo,amparafaravola,moramanga,anosibe-an'ala,mahajanga i,mampikony,ambatomainty,betioky atsimo,sakaraha,tsihombe,ambovombe-androy,amboasary-atsimo,morondava,miandrivazo,ambanja,andapa,betafo,fenoarivobe,vohibato,nosy-varika,vohipeno,marolambo,antanambao manampontsy,soalala,marovoay,mahajanga ii,befandriana nord,besalampy,toliary-i,ampanihy ouest,benenitra,betroka,manja,mahabo,ambilobe,sambava,antananarivo renivohitra,ihosy,ivohibe,befotaka,brickaville,morafenobe,beroroha,morombe,toliary-ii,beloha,nosy-be,vohemar,fenerive est,bekily,belo sur tsiribihina,port-berge (boriziny-vaovao)
ambohidratrimo,ambohidratrimo,,ambohidratrimo,0,ambohidratrimo,0,ambohidratrimo,amboasary-atsimo,ambohimahasoa,ambositra,miarinarivo,vohibato,midongy-atsimo,faratsiho,arivonimamo,ambalavao,manakara atsimo,ambatondrazaka,maintirano,betioky atsimo,andramasina,antsirabe i,ambatolampy,antsirabe ii,mandoto,nosy-varika,vohipeno,vangaindrano,vondrozo,mahanoro,marolambo,maroantsetra,moramanga,ambato boeni,mitsinjo,mandritsara,ambatomainty,toliary-i,toliary-ii,taolagnaro,mahabo,miandrivazo,ambilobe,ambanja,vohemar,anjozorobe,betafo,antanifotsy,fenoarivobe,isandra,ambatofinandrahana,manandriana,mananjary,ivohibe,iakora,toamasina i,brickaville,toamasina ii,sainte marie,amparafaravola,andilamena,anosibe-an'ala,mahajanga i,marovoay,mahajanga ii,antsohihy,kandreho,morafenobe,beroroha,morombe,ankazoabo,ampanihy ouest,benenitra,beloha,ambovombe-androy,betroka,morondava,antsiranana i,sambava,andapa,ankazobe,manjakandriana,soavinandriana,tsiroanomandidy,lalangina,fandriana,ifanadiana,ikongo,befotaka,vatomandry,vavatenina,soalala,analalava,bealanana,mampikony,maevatanana,tsaratanana,besalampy,antsalova,sakaraha,bekily,manja,antsiranana ii,antalaha,fianarantsoa i,ikalamavony,ihosy,farafangana,fenerive est,soanierana ivongo,befandriana nord,tsihombe,nosy-be,mananara-avaratra,belo sur tsiribihina,antananarivo avaradrano,antanambao manampontsy,antananarivo atsimondrano,antananarivo renivohitra,port-berge (boriziny-vaovao)
fenoarivo afovoany,fenoarivobe,,fenoarivobe,9,antananarivo avaradrano,8,fenoarivobe,farafangana,fenerive est,marovoay,antanifotsy,arivonimamo,miarinarivo,soavinandriana,fianarantsoa i,ikalamavony,fandriana,antananarivo avaradrano,manjakandriana,ambohimahasoa,ifanadiana,nosy-varika,vangaindrano,marolambo,soanierana ivongo,amparafaravola,anosibe-an'ala,ambato boeni,mandritsara,analalava,bealanana,maevatanana,tsaratanana,antsalova,morafenobe,beroroha,ankazoabo,morondava,miandrivazo,anjozorobe,andramasina,antananarivo atsimondrano,betafo,ambatolampy,faratsiho,tsiroanomandidy,ambalavao,vohibato,manandriana,mananjary,manakara atsimo,iakora,vondrozo,befotaka,toamasina i,brickaville,vatomandry,mahanoro,maroantsetra,mananara-avaratra,vavatenina,moramanga,andilamena,soalala,befandriana nord,mampikony,besalampy,ambatomainty,maintirano,ampanihy ouest,sakaraha,benenitra,ambovombe-androy,taolagnaro,betroka,antsiranana i,antalaha,sambava,antananarivo renivohitra,ambohidratrimo,ankazobe,antsirabe i,antsirabe ii,mandoto,lalangina,isandra,ambatofinandrahana,ambositra,ikongo,vohipeno,ihosy,ivohibe,toamasina ii,ambatondrazaka,mahajanga i,antsohihy,kandreho,toliary-i,morombe,betioky atsimo,toliary-ii,beloha,bekily,amboasary-atsimo,mahabo,antsiranana ii,ambanja,andapa,vohemar,midongy-atsimo,antanambao manampontsy,sainte marie,mitsinjo,mahajanga ii,tsihombe,manja,belo sur tsiribihina,ambilobe,nosy-be,port-berge (boriziny-vaovao)
manjakandriana,manjakandriana,,manjakandriana,0,manjakandriana,0,manjakandriana,manandriana,soavinandriana,fandriana,vangaindrano,maevatanana,ifanadiana,farafangana,andramasina,lalangina,mananjary,vavatenina,ambatondrazaka,mahajanga i,mandritsara,analalava,bealanana,tsaratanana,maintirano,sakaraha,miandrivazo,miarinarivo,fianarantsoa i,isandra,ambatofinandrahana,vatomandry,mahanoro,maroantsetra,moramanga,andilamena,mahajanga ii,kandreho,ankazoabo,manja,morondava,antalaha,andapa,ankazobe,anjozorobe,antanifotsy,mandoto,ambalavao,nosy-varika,manakara atsimo,iakora,mananara-avaratra,amparafaravola,mampikony,antsalova,benenitra,taolagnaro,antsiranana i,ambanja,antsirabe i,faratsiho,antsirabe ii,arivonimamo,fenoarivobe,ikalamavony,ambositra,vondrozo,toamasina i,brickaville,marolambo,toamasina ii,sainte marie,soanierana ivongo,anosibe-an'ala,soalala,ambato boeni,marovoay,befandriana nord,antsohihy,ambatomainty,morafenobe,mahabo,antsiranana ii,sambava,ambohidratrimo,ambatolampy,tsiroanomandidy,ambohimahasoa,ikongo,midongy-atsimo,befotaka,mitsinjo,besalampy,toliary-i,beroroha,morombe,toliary-ii,bekily,betroka,vohemar,betafo,vohibato,vohipeno,ivohibe,fenerive est,betioky atsimo,ampanihy ouest,beloha,ambovombe-androy,amboasary-atsimo,ambilobe,nosy-be,ihosy,tsihombe,antananarivo avaradrano,antananarivo renivohitra,antananarivo atsimondrano,antanambao manampontsy,belo sur tsiribihina,port-berge (boriziny-vaovao)
tsiroanomandidy,tsiroanomandidy,,tsiroanomandidy,0,tsiroanomandidy,0,tsiroanomandidy,vatomandry,tsaratanana,antsiranana ii,antsiranana i,andramasina,arivonimamo,soavinandriana,ikalamavony,ifanadiana,mananjary,moramanga,marovoay,ambatomainty,tsihombe,antsirabe i,ambatolampy,antsirabe ii,mandoto,miarinarivo,lalangina,isandra,manandriana,iakora,farafangana,midongy-atsimo,toamasina i,toamasina ii,sainte marie,maroantsetra,mahajanga i,soalala,mahajanga ii,antsohihy,bealanana,beroroha,ambovombe-androy,taolagnaro,morondava,ambohidratrimo,ankazobe,manjakandriana,antanifotsy,faratsiho,fianarantsoa i,ambohimahasoa,fandriana,nosy-varika,manakara atsimo,ikongo,ihosy,ivohibe,vangaindrano,mahanoro,marolambo,vavatenina,andilamena,ambato boeni,analalava,mampikony,maevatanana,besalampy,antsalova,maintirano,morafenobe,toliary-i,morombe,ankazoabo,betioky atsimo,sakaraha,toliary-ii,betroka,manja,miandrivazo,ambanja,antalaha,sambava,andapa,vohemar,anjozorobe,betafo,fenoarivobe,ambalavao,vohibato,ambositra,vohipeno,vondrozo,befotaka,brickaville,soanierana ivongo,amparafaravola,ambatondrazaka,anosibe-an'ala,mitsinjo,mandritsara,befandriana nord,kandreho,benenitra,beloha,bekily,amboasary-atsimo,mahabo,ambilobe,nosy-be,ampanihy ouest,ambatofinandrahana,mananara-avaratra,fenerive est,antanambao manampontsy,belo sur tsiribihina,antananarivo avaradrano,antananarivo atsimondrano,antananarivo renivohitra,port-berge (boriziny-vaovao)
maroantsetra,maroantsetra,,maroantsetra,0,maroantsetra,0,maroantsetra,ambositra,mandritsara,faratsiho,manandriana,mananjary,mahanoro,maevatanana,morondava,antanifotsy,mandoto,lalangina,isandra,iakora,farafangana,vatomandry,marolambo,vavatenina,moramanga,marovoay,tsaratanana,antsalova,maintirano,morombe,benenitra,manja,ambanja,antalaha,ankazobe,manjakandriana,andramasina,miarinarivo,fianarantsoa i,fandriana,ifanadiana,befotaka,andilamena,mahajanga i,soalala,mitsinjo,mahajanga ii,analalava,antsohihy,bealanana,kandreho,morafenobe,beroroha,sakaraha,taolagnaro,mahabo,sambava,andapa,vohemar,ambohidratrimo,antsirabe i,ambatolampy,arivonimamo,soavinandriana,fenoarivobe,ambalavao,ambohimahasoa,vohibato,ikongo,vohipeno,ihosy,ivohibe,vangaindrano,vondrozo,toamasina i,sainte marie,mananara-avaratra,amparafaravola,ambatondrazaka,ambato boeni,mampikony,ambatomainty,ankazoabo,beloha,betroka,miandrivazo,ambilobe,nosy-be,anjozorobe,betafo,antsirabe ii,tsiroanomandidy,ikalamavony,nosy-varika,manakara atsimo,midongy-atsimo,brickaville,toamasina ii,fenerive est,befandriana nord,besalampy,toliary-i,toliary-ii,tsihombe,ambatofinandrahana,anosibe-an'ala,betioky atsimo,ampanihy ouest,ambovombe-androy,bekily,amboasary-atsimo,antsiranana ii,antsiranana i,soanierana ivongo,belo sur tsiribihina,antananarivo renivohitra,antananarivo avaradrano,antanambao manampontsy,antananarivo atsimondrano,port-berge (boriziny-vaovao)
mahajanga i,mahajanga i,,mahajanga i,0,mahajanga i,0,mahajanga i,mahajanga ii,farafangana,moramanga,mananjary,toamasina i,mahanoro,maevatanana,fianarantsoa i,ambalavao,lalangina,manandriana,toamasina ii,analalava,bealanana,tsaratanana,sakaraha,taolagnaro,manja,mahabo,ambanja,manjakandriana,mandoto,miarinarivo,fandriana,ifanadiana,vatomandry,marolambo,vavatenina,soalala,marovoay,mandritsara,maintirano,morafenobe,ankazoabo,morondava,antsiranana i,antalaha,sambava,andapa,ankazobe,andramasina,antsirabe i,ambatolampy,faratsiho,arivonimamo,ikalamavony,vohibato,isandra,ambositra,manakara atsimo,ikongo,vohipeno,iakora,vangaindrano,befotaka,sainte marie,maroantsetra,ambato boeni,mitsinjo,mampikony,besalampy,antsalova,toliary-i,toliary-ii,miandrivazo,antsiranana ii,vohemar,anjozorobe,betafo,antanifotsy,antsirabe ii,soavinandriana,ambohimahasoa,ihosy,brickaville,amparafaravola,ambatondrazaka,andilamena,antsohihy,kandreho,ambatomainty,beroroha,morombe,benenitra,beloha,betroka,ambilobe,ambohidratrimo,tsiroanomandidy,fenoarivobe,nosy-varika,ivohibe,midongy-atsimo,vondrozo,anosibe-an'ala,tsihombe,bekily,amboasary-atsimo,nosy-be,mananara-avaratra,fenerive est,soanierana ivongo,befandriana nord,betioky atsimo,ampanihy ouest,ambatofinandrahana,ambovombe-androy,antanambao manampontsy,antananarivo renivohitra,antananarivo avaradrano,belo sur tsiribihina,antananarivo atsimondrano,port-berge (boriziny-vaovao)
andilamena,andilamena,,andilamena,0,andilamena,0,andilamena,andramasina,fandriana,analalava,antalaha,andapa,antsirabe i,ifanadiana,bealanana,antsalova,ambilobe,ankazobe,antsirabe ii,ambalavao,lalangina,isandra,manandriana,vohipeno,iakora,marolambo,moramanga,soalala,mandritsara,maevatanana,kandreho,besalampy,maintirano,antsiranana i,ambanja,anjozorobe,ambatolampy,mandoto,ikalamavony,vohibato,ambositra,mananjary,farafangana,vangaindrano,befotaka,vavatenina,antsohihy,mampikony,tsaratanana,toliary-i,ankazoabo,sakaraha,beloha,tsihombe,bekily,taolagnaro,manja,miandrivazo,antsiranana ii,nosy-be,sambava,manjakandriana,betafo,antanifotsy,arivonimamo,miarinarivo,ambohimahasoa,nosy-varika,ikongo,ihosy,ivohibe,vondrozo,toamasina i,vatomandry,mahanoro,sainte marie,maroantsetra,fenerive est,anosibe-an'ala,ambato boeni,marovoay,mitsinjo,ambatomainty,morafenobe,beroroha,morombe,toliary-ii,benenitra,betroka,morondava,mahabo,vohemar,faratsiho,soavinandriana,fenoarivobe,brickaville,toamasina ii,ambatondrazaka,mahajanga i,ambohidratrimo,fianarantsoa i,amparafaravola,mahajanga ii,befandriana nord,ampanihy ouest,tsiroanomandidy,manakara atsimo,midongy-atsimo,betioky atsimo,ambovombe-androy,ambatofinandrahana,mananara-avaratra,soanierana ivongo,amboasary-atsimo,antanambao manampontsy,belo sur tsiribihina,antananarivo renivohitra,antananarivo avaradrano,antananarivo atsimondrano,port-berge (boriziny-vaovao)
