names_tomatch,match,fixed_best,min_fixed,partial_best,min_partial,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119
moramanga,moramanga,moramanga,0,moramanga,0,moramanga,farafangana,mahajanga i,soalala,morafenobe,morombe,manja,morondava,ambanja,andramasina,lalangina,mananjary,mahanoro,marolambo,mahajanga ii,bealanana,maevatanana,tsaratanana,sakaraha,mahabo,antalaha,sambava,vohemar,faratsiho,mandoto,ambalavao,vohibato,isandra,fandriana,manandriana,ifanadiana,ikongo,vohipeno,iakora,befotaka,toamasina i,vatomandry,vavatenina,andilamena,marovoay,mitsinjo,analalava,besalampy,beroroha,taolagnaro,andapa,ankazobe,betafo,miarinarivo,ambohimahasoa,ikalamavony,ambositra,nosy-varika,vondrozo,toamasina ii,maroantsetra,mandritsara,mampikony,ambatomainty,antsalova,maintirano,toliary-i,ankazoabo,toliary-ii,benenitra,beloha,betroka,nosy-be,manjakandriana,ambatolampy,arivonimamo,fenoarivobe,ihosy,ivohibe,amparafaravola,ambatondrazaka,antsohihy,kandreho,tsihombe,bekily,miandrivazo,antsiranana i,ambilobe,ambohidratrimo,anjozorobe,antsirabe i,antanifotsy,antsirabe ii,soavinandriana,tsiroanomandidy,fianarantsoa i,vangaindrano,brickaville,sainte marie,anosibe-an'ala,ambato boeni,antsiranana ii,manakara atsimo,midongy-atsimo,fenerive est,soanierana ivongo,ambovombe-androy,ambatofinandrahana,mananara-avaratra,befandriana nord,betioky atsimo,amboasary-atsimo,ampanihy ouest,1er arrondissement,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,antanambao manampontsy,belo sur tsiribihina,antananarivo avaradrano,antananarivo atsimondrano,port-berge (boriziny-vaovao)
antananarivo renivohitra,antananarivo renivohitra,antananarivo atsimondrano,9,antananarivo atsimondrano,7,antananarivo atsimondrano,antananarivo avaradrano,antanambao manampontsy,mananara-avaratra,manjakandriana,antanifotsy,manandriana,manakara atsimo,soanierana ivongo,amparafaravola,antsiranana ii,andramasina,antsirabe ii,arivonimamo,miarinarivo,fenoarivobe,vangaindrano,toamasina ii,maroantsetra,fenerive est,analalava,befandriana nord,antsalova,benenitra,antsiranana i,antalaha,antsirabe i,soavinandriana,fianarantsoa i,ikalamavony,lalangina,ambatofinandrahana,ambositra,fandriana,ifanadiana,toamasina i,mahanoro,vavatenina,andilamena,ambato boeni,mahajanga ii,mandritsara,antsohihy,bealanana,maevatanana,ambatomainty,maintirano,beroroha,ampanihy ouest,amboasary-atsimo,belo sur tsiribihina,miandrivazo,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,ambohidratrimo,ankazobe,anjozorobe,tsiroanomandidy,ambalavao,ambohimahasoa,nosy-varika,mananjary,ivohibe,farafangana,sainte marie,ambatondrazaka,anosibe-an'ala,mahajanga i,marovoay,tsaratanana,kandreho,ankazoabo,sakaraha,toliary-ii,taolagnaro,1er arrondissement,faratsiho,mandoto,vohibato,isandra,ikongo,vohipeno,iakora,vondrozo,brickaville,vatomandry,marolambo,moramanga,mitsinjo,mampikony,morafenobe,toliary-i,betioky atsimo,beloha,tsihombe,ambovombe-androy,betroka,morondava,ambilobe,ambanja,sambava,andapa,vohemar,betafo,ambatolampy,midongy-atsimo,befotaka,soalala,morombe,manja,mahabo,ihosy,besalampy,bekily,nosy-be,port-berge (boriziny-vaovao)
NA,NA,1er arrondissement,NA,1er arrondissement,NA,1er arrondissement,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,antananarivo avaradrano,ambohidratrimo,ankazobe,manjakandriana,anjozorobe,andramasina,antananarivo atsimondrano,antsirabe i,betafo,ambatolampy,antanifotsy,faratsiho,antsirabe ii,mandoto,arivonimamo,miarinarivo,soavinandriana,tsiroanomandidy,fenoarivobe,fianarantsoa i,ambalavao,ambohimahasoa,ikalamavony,lalangina,vohibato,isandra,ambatofinandrahana,ambositra,fandriana,manandriana,ifanadiana,nosy-varika,mananjary,manakara atsimo,ikongo,vohipeno,ihosy,ivohibe,iakora,farafangana,vangaindrano,midongy-atsimo,vondrozo,befotaka,toamasina i,brickaville,vatomandry,mahanoro,marolambo,toamasina ii,antanambao manampontsy,sainte marie,maroantsetra,mananara-avaratra,fenerive est,vavatenina,soanierana ivongo,amparafaravola,ambatondrazaka,moramanga,andilamena,anosibe-an'ala,mahajanga i,soalala,ambato boeni,marovoay,mitsinjo,mahajanga ii,port-berge (boriziny-vaovao),mandritsara,analalava,befandriana nord,antsohihy,bealanana,mampikony,maevatanana,tsaratanana,kandreho,besalampy,ambatomainty,antsalova,maintirano,morafenobe,toliary-i,beroroha,morombe,ankazoabo,betioky atsimo,ampanihy ouest,sakaraha,toliary-ii,benenitra,beloha,tsihombe,ambovombe-androy,bekily,taolagnaro,betroka,amboasary-atsimo,manja,morondava,mahabo,belo sur tsiribihina,miandrivazo,antsiranana ii,antsiranana i,ambilobe,nosy-be,ambanja,antalaha,sambava,andapa,vohemar
anosibe-an'ala,anosibe-an'ala,anosibe-an'ala,0,anosibe-an'ala,0,anosibe-an'ala,antsiranana i,antsiranana ii,antsirabe i,antsirabe ii,fandriana,nosy-varika,andilamena,soalala,analalava,bealanana,tsaratanana,antsalova,ambovombe-androy,ambanja,antalaha,andramasina,ambalavao,ambohimahasoa,vohibato,isandra,ambositra,manandriana,ifanadiana,mananjary,vohipeno,ivohibe,farafangana,vangaindrano,befotaka,moramanga,mandritsara,maevatanana,ankazoabo,sakaraha,benenitra,morondava,nosy-be,sambava,andapa,ambohidratrimo,ankazobe,manjakandriana,betafo,arivonimamo,soavinandriana,lalangina,iakora,toamasina i,brickaville,vatomandry,mananara-avaratra,vavatenina,amparafaravola,ambatondrazaka,mahajanga i,mitsinjo,antsohihy,besalampy,maintirano,morafenobe,toliary-i,beroroha,toliary-ii,beloha,bekily,taolagnaro,betroka,amboasary-atsimo,manja,vohemar,anjozorobe,ambatolampy,antanifotsy,mandoto,miarinarivo,manakara atsimo,ikongo,ihosy,midongy-atsimo,mahanoro,marolambo,toamasina ii,maroantsetra,fenerive est,marovoay,mahajanga ii,mampikony,kandreho,ambatomainty,morombe,tsihombe,mahabo,miandrivazo,ambilobe,faratsiho,tsiroanomandidy,fenoarivobe,fianarantsoa i,ikalamavony,ambatofinandrahana,vondrozo,sainte marie,ambato boeni,befandriana nord,betioky atsimo,ampanihy ouest,soanierana ivongo,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,1er arrondissement,antananarivo avaradrano,antanambao manampontsy,belo sur tsiribihina,antananarivo atsimondrano,port-berge (boriziny-vaovao)
toamasina i,toamasina i,toamasina i,0,toamasina i,0,toamasina i,toamasina ii,andramasina,mahajanga i,tsaratanana,taolagnaro,antsirabe i,lalangina,ifanadiana,moramanga,soalala,mahajanga ii,bealanana,toliary-i,toliary-ii,antsiranana i,faratsiho,antsirabe ii,miarinarivo,fianarantsoa i,ambalavao,vohibato,ambositra,fandriana,mananjary,farafangana,vatomandry,mahanoro,vavatenina,mitsinjo,analalava,mampikony,maevatanana,maintirano,morafenobe,sakaraha,manja,mahabo,miandrivazo,antsiranana ii,ambilobe,ambanja,sambava,ambatolampy,mandoto,arivonimamo,fenoarivobe,ikalamavony,isandra,manandriana,nosy-varika,vohipeno,iakora,vangaindrano,marolambo,andilamena,marovoay,mandritsara,antsohihy,ambatomainty,antsalova,ankazoabo,tsihombe,morondava,nosy-be,antalaha,andapa,vohemar,ankazobe,betafo,antanifotsy,soavinandriana,ikongo,ihosy,ivohibe,vondrozo,befotaka,brickaville,sainte marie,maroantsetra,ambato boeni,kandreho,besalampy,beroroha,morombe,benenitra,beloha,bekily,betroka,ambohidratrimo,manjakandriana,anjozorobe,tsiroanomandidy,ambohimahasoa,manakara atsimo,fenerive est,soanierana ivongo,amparafaravola,ambatondrazaka,anosibe-an'ala,befandriana nord,betioky atsimo,ampanihy ouest,amboasary-atsimo,midongy-atsimo,ambovombe-androy,ambatofinandrahana,mananara-avaratra,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,1er arrondissement,antanambao manampontsy,belo sur tsiribihina,antananarivo avaradrano,antananarivo atsimondrano,port-berge (boriziny-vaovao)
vatomandry,vatomandry,vatomandry,0,vatomandry,0,vatomandry,isandra,mananjary,mahanoro,ambatomainty,taolagnaro,vohemar,ambatolampy,mandoto,ikalamavony,iakora,vangaindrano,vondrozo,marolambo,vavatenina,moramanga,marovoay,manja,ambanja,ankazobe,betafo,tsiroanomandidy,lalangina,vohibato,ambositra,fandriana,manandriana,ikongo,vohipeno,ihosy,farafangana,befotaka,toamasina i,maroantsetra,mahajanga i,soalala,mitsinjo,analalava,antsohihy,bealanana,mampikony,maevatanana,tsaratanana,kandreho,besalampy,antsalova,maintirano,toliary-i,morombe,sakaraha,beloha,betroka,morondava,mahabo,antalaha,sambava,andapa,manjakandriana,anjozorobe,andramasina,antsirabe i,antanifotsy,faratsiho,miarinarivo,soavinandriana,ambalavao,ifanadiana,ivohibe,toamasina ii,sainte marie,andilamena,ambato boeni,mahajanga ii,mandritsara,morafenobe,beroroha,ankazoabo,toliary-ii,benenitra,tsihombe,ambovombe-androy,bekily,ambilobe,nosy-be,antsirabe ii,arivonimamo,fenoarivobe,ambohimahasoa,nosy-varika,brickaville,ambatondrazaka,miandrivazo,antsiranana i,fianarantsoa i,ambatofinandrahana,anosibe-an'ala,betioky atsimo,antsiranana ii,ambohidratrimo,midongy-atsimo,fenerive est,amparafaravola,befandriana nord,ampanihy ouest,manakara atsimo,amboasary-atsimo,mananara-avaratra,soanierana ivongo,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,1er arrondissement,antanambao manampontsy,antananarivo avaradrano,antananarivo atsimondrano,belo sur tsiribihina,port-berge (boriziny-vaovao)
brickaville,brickaville,brickaville,0,brickaville,0,brickaville,bekily,ankazobe,ivohibe,betafo,arivonimamo,miarinarivo,fenoarivobe,ambalavao,isandra,ifanadiana,ikongo,iakora,befotaka,soalala,mitsinjo,bealanana,besalampy,ankazoabo,sakaraha,benenitra,beloha,tsihombe,betroka,morondava,ambilobe,sambava,anjozorobe,andramasina,faratsiho,mandoto,ikalamavony,lalangina,vohibato,ambositra,fandriana,manandriana,nosy-varika,mananjary,ihosy,farafangana,toamasina i,vatomandry,mahanoro,marolambo,sainte marie,vavatenina,moramanga,andilamena,mahajanga i,marovoay,analalava,antsohihy,kandreho,ambatomainty,antsalova,maintirano,morafenobe,toliary-i,beroroha,morombe,betioky atsimo,toliary-ii,taolagnaro,manja,mahabo,miandrivazo,nosy-be,ambanja,antalaha,andapa,vohemar,ambohidratrimo,manjakandriana,antsirabe i,ambatolampy,antanifotsy,antsirabe ii,ambohimahasoa,vohipeno,vondrozo,toamasina ii,maroantsetra,fenerive est,amparafaravola,anosibe-an'ala,mahajanga ii,mandritsara,mampikony,maevatanana,tsaratanana,soavinandriana,vangaindrano,ambato boeni,befandriana nord,antsiranana ii,antsiranana i,tsiroanomandidy,fianarantsoa i,manakara atsimo,midongy-atsimo,ambatondrazaka,ampanihy ouest,soanierana ivongo,ambovombe-androy,amboasary-atsimo,1er arrondissement,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,mananara-avaratra,ambatofinandrahana,belo sur tsiribihina,antananarivo avaradrano,antanambao manampontsy,antananarivo atsimondrano,port-berge (boriziny-vaovao)
ambatondrazaka,ambatondrazaka,ambatondrazaka,0,ambatondrazaka,0,ambatondrazaka,ambatofinandrahana,ambatolampy,manandriana,ambatomainty,manjakandriana,ambalavao,ambohimahasoa,fandriana,amparafaravola,ambato boeni,mandritsara,morondava,miandrivazo,ambanja,ambohidratrimo,andramasina,isandra,ambositra,vangaindrano,vondrozo,befotaka,moramanga,analalava,maevatanana,betroka,antalaha,andapa,ankazobe,antsirabe i,mandoto,arivonimamo,miarinarivo,soavinandriana,ifanadiana,mananjary,iakora,farafangana,vatomandry,mahanoro,marolambo,maroantsetra,vavatenina,andilamena,mahajanga i,soalala,marovoay,mahajanga ii,bealanana,tsaratanana,kandreho,antsalova,maintirano,beroroha,ankazoabo,sakaraha,manja,antsiranana i,ambilobe,sambava,anjozorobe,betafo,antanifotsy,antsirabe ii,lalangina,nosy-varika,toamasina i,toamasina ii,anosibe-an'ala,mampikony,toliary-i,morombe,ampanihy ouest,toliary-ii,benenitra,beloha,ambovombe-androy,taolagnaro,amboasary-atsimo,mahabo,antsiranana ii,faratsiho,fenoarivobe,fianarantsoa i,ikalamavony,vohibato,manakara atsimo,ikongo,midongy-atsimo,sainte marie,mananara-avaratra,mitsinjo,befandriana nord,antsohihy,besalampy,morafenobe,betioky atsimo,vohemar,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,tsiroanomandidy,vohipeno,ihosy,ivohibe,brickaville,tsihombe,bekily,nosy-be,1er arrondissement,fenerive est,soanierana ivongo,antananarivo avaradrano,antanambao manampontsy,belo sur tsiribihina,antananarivo atsimondrano,port-berge (boriziny-vaovao)
antananarivo atsimondrano,antananarivo atsimondrano,antananarivo atsimondrano,0,antananarivo atsimondrano,0,antananarivo atsimondrano,antananarivo avaradrano,manakara atsimo,vangaindrano,antanambao manampontsy,mananara-avaratra,amboasary-atsimo,manjakandriana,antanifotsy,arivonimamo,manandriana,andramasina,fianarantsoa i,soanierana ivongo,amparafaravola,mandritsara,tsaratanana,maintirano,betioky atsimo,ambohidratrimo,faratsiho,miarinarivo,soavinandriana,tsiroanomandidy,ambatofinandrahana,fandriana,ifanadiana,midongy-atsimo,toamasina i,vatomandry,maroantsetra,andilamena,analalava,befandriana nord,maevatanana,taolagnaro,miandrivazo,antsiranana ii,antsiranana i,antsirabe i,antsirabe ii,fenoarivobe,ambalavao,ambohimahasoa,ikalamavony,lalangina,isandra,ambositra,mananjary,farafangana,vondrozo,mahanoro,marolambo,toamasina ii,fenerive est,vavatenina,ambatondrazaka,anosibe-an'ala,ambato boeni,mitsinjo,bealanana,ambatomainty,antsalova,ankazoabo,ampanihy ouest,benenitra,ambovombe-androy,belo sur tsiribihina,antalaha,1er arrondissement,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,anjozorobe,ambatolampy,mandoto,vohibato,nosy-varika,vohipeno,iakora,sainte marie,moramanga,mahajanga i,marovoay,mahajanga ii,antsohihy,kandreho,sakaraha,morondava,ankazobe,ikongo,ivohibe,brickaville,mampikony,toliary-i,beroroha,toliary-ii,tsihombe,betroka,ambanja,sambava,andapa,vohemar,betafo,ihosy,befotaka,soalala,besalampy,morafenobe,morombe,manja,mahabo,ambilobe,nosy-be,beloha,port-berge (boriziny-vaovao),bekily
mahajanga i,mahajanga i,mahajanga i,0,mahajanga i,0,mahajanga i,mahajanga ii,farafangana,moramanga,mananjary,toamasina i,mahanoro,maevatanana,fianarantsoa i,ambalavao,lalangina,manandriana,toamasina ii,analalava,bealanana,tsaratanana,sakaraha,taolagnaro,manja,mahabo,ambanja,manjakandriana,mandoto,miarinarivo,fandriana,ifanadiana,vatomandry,marolambo,vavatenina,soalala,marovoay,mandritsara,maintirano,morafenobe,ankazoabo,morondava,antsiranana i,antalaha,sambava,andapa,ankazobe,andramasina,antsirabe i,ambatolampy,faratsiho,arivonimamo,ikalamavony,vohibato,isandra,ambositra,manakara atsimo,ikongo,vohipeno,iakora,vangaindrano,befotaka,sainte marie,maroantsetra,ambato boeni,mitsinjo,mampikony,besalampy,antsalova,toliary-i,toliary-ii,miandrivazo,antsiranana ii,vohemar,anjozorobe,betafo,antanifotsy,antsirabe ii,soavinandriana,ambohimahasoa,ihosy,brickaville,amparafaravola,ambatondrazaka,andilamena,antsohihy,kandreho,ambatomainty,beroroha,morombe,benenitra,beloha,betroka,ambilobe,ambohidratrimo,tsiroanomandidy,fenoarivobe,nosy-varika,ivohibe,midongy-atsimo,vondrozo,anosibe-an'ala,tsihombe,bekily,amboasary-atsimo,nosy-be,mananara-avaratra,fenerive est,soanierana ivongo,befandriana nord,betioky atsimo,ampanihy ouest,ambatofinandrahana,ambovombe-androy,2e arrondissement,3e arrondissement,4e arrondissement,5e arrondissement,6e arrondissement,1er arrondissement,antanambao manampontsy,antananarivo avaradrano,belo sur tsiribihina,antananarivo atsimondrano,port-berge (boriziny-vaovao)
