"date_reported","type","ctar","id_ctar","distcode","source","no_patients"
2006-03-22,"new","IPM",5,"MG11101","IPM",3
2006-03-22,"new","IPM",5,"MG11102","IPM",1
2006-03-22,"new","IPM",5,"MG11117","IPM",3
2006-03-22,"restart","IPM",5,"MG11101","IPM",11
2006-03-22,"restart","IPM",5,"MG11102","IPM",8
2006-03-22,"restart","IPM",5,"MG11103","IPM",6
2006-03-22,"restart","IPM",5,"MG11117","IPM",7
2006-03-23,"new","IPM",5,"MG11101","IPM",4
2006-03-23,"new","IPM",5,"MG11103","IPM",4
2006-03-23,"restart","IPM",5,"MG11101","IPM",5
2006-03-23,"restart","IPM",5,"MG11102","IPM",2
2006-03-23,"restart","IPM",5,"MG11117","IPM",1
2006-03-23,"transfer","IPM",5,"MG11103","IPM",1
2006-03-24,"new","IPM",5,"MG11101","IPM",6
2006-03-24,"new","IPM",5,"MG11102","IPM",1
2006-03-24,"new","IPM",5,"MG11103","IPM",1
2006-03-24,"new","IPM",5,"MG11117","IPM",1
2006-03-24,"new","IPM",5,"MG14119","IPM",1
2006-03-25,"new","IPM",5,"MG11101","IPM",3
2006-03-25,"new","IPM",5,"MG11102","IPM",1
2006-03-26,"new","IPM",5,"MG11101","IPM",4
2006-03-27,"new","IPM",5,"MG11101","IPM",15
2006-03-27,"new","IPM",5,"MG11103","IPM",1
2006-03-27,"new","IPM",5,"MG11106","IPM",1
2006-03-28,"new","IPM",5,"MG11101","IPM",4
2006-03-28,"new","IPM",5,"MG11103","IPM",2
2006-03-28,"new","IPM",5,"MG11117","IPM",1
2006-03-28,"new","IPM",5,"MG14111","IPM",1
2006-03-29,"new","IPM",5,"MG11101","IPM",1
2006-03-29,"new","IPM",5,"MG32303","IPM",1
2006-03-29,"new","IPM",5,"MG41401","IPM",1
2006-03-30,"new","IPM",5,"MG11101","IPM",10
2006-03-30,"new","IPM",5,"MG11102","IPM",1
2006-03-30,"new","IPM",5,"MG11117","IPM",1
2006-03-30,"new","IPM",5,"MG14119","IPM",1
2006-03-30,"new","IPM",5,"MG33316","IPM",1
2006-03-31,"new","IPM",5,"MG11101","IPM",7
2006-03-31,"new","IPM",5,"MG11103","IPM",3
2006-03-31,"new","IPM",5,"MG11117","IPM",3
2006-04-01,"new","IPM",5,"MG11101","IPM",2
2006-04-01,"new","IPM",5,"MG11102","IPM",1
2006-04-01,"new","IPM",5,"MG11103","IPM",1
2006-04-01,"new","IPM",5,"MG11117","IPM",1
2006-04-02,"new","IPM",5,"MG11101","IPM",4
2006-04-02,"new","IPM",5,"MG11102","IPM",2
2006-04-02,"new","IPM",5,"MG11117","IPM",2
2006-04-03,"new","IPM",5,"MG11101","IPM",11
2006-04-03,"new","IPM",5,"MG11103","IPM",2
2006-04-03,"new","IPM",5,"MG11115","IPM",1
2006-04-03,"new","IPM",5,"MG11117","IPM",3
2006-04-04,"new","IPM",5,"MG11101","IPM",5
2006-04-04,"new","IPM",5,"MG11102","IPM",1
2006-04-04,"new","IPM",5,"MG11103","IPM",1
2006-04-04,"new","IPM",5,"MG11117","IPM",3
2006-04-05,"new","IPM",5,"MG11101","IPM",8
2006-04-05,"new","IPM",5,"MG11102","IPM",3
2006-04-05,"new","IPM",5,"MG11103","IPM",4
2006-04-05,"new","IPM",5,"MG11117","IPM",3
2006-04-05,"new","IPM",5,"MG14111","IPM",1
2006-04-05,"restart","IPM",5,"MG11101","IPM",1
2006-04-06,"new","IPM",5,"MG11101","IPM",5
2006-04-06,"new","IPM",5,"MG11102","IPM",2
2006-04-06,"new","IPM",5,"MG11103","IPM",6
2006-04-06,"new","IPM",5,"MG11117","IPM",3
2006-04-07,"new","IPM",5,"MG11101","IPM",5
