"distcode","district","commcode","commune","long","lat","type","pop_dens","clinic_id"
"MG23207","Nosy-Varika","MG23207090","Vohilava",48.4226,-20.7099,"CSB1",392.035369873047,1680
"MG51507","Ampanihy Ouest","MG51507030","Ankiliabo",44.7038,-24.6492,"CSB1",13.0291557312012,1681
"MG52514","Tsihombe","MG52514011","Tsihombe",45.4874,-25.3148,"CSB1",1979.59167480469,1682
"MG42423","Mampikony","MG42423052","Ankiririky",47.627,-15.7804,"CSB1",60.2525215148926,1683
"MG51512","Sakaraha","MG51512172","Mitsinjo",44.0064,-22.7901,"CSB1",2.03263068199158,1684
"MG32303","Maroantsetra","MG32303031","Anjanazana",49.6745,-15.3468,"CSB1",105.04061126709,1685
"MG11103","Ambohidratrimo","MG11103330","Mahereza",47.367,-18.9053,"CSB1",402.200622558594,1686
"MG72712","Andapa","MG72712270","Belaoka Lokoho",49.7461,-14.5328,"CSB1",114.19800567627,1687
"MG72712","Andapa","MG72712030","Tanandava",49.6192,-14.6954,"CSB1",1050.39282226562,1688
"MG11107","Anjozorobe","MG11107330","Ambohimirary",47.7241,-18.3316,"CSB1",57.1414451599121,1689
"MG11107","Anjozorobe","MG11107250","Amparatanjona",47.8566,-18.002,"CSB1",15.0070400238037,1690
"MG11107","Anjozorobe","MG11107130","Ambohimanarina Marovazaha",47.7889,-18.2266,"CSB1",14.0593252182007,1691
"MG12110","Ambatolampy","MG12110292","Antakasina",47.725,-19.515,"CSB1",27.3578433990479,1692
"MG12114","Antanifotsy","MG12114171","Ambohitompoina",47.608,-19.7842,"CSB1",107.727996826172,1693
"MG12109","Betafo","MG12109230","Alakamisy Marososona",46.88,-20.0575,"CSB1",19.8988418579102,1694
"MG12109","Betafo","MG12109390","Alarobia Bemaha",46.862,-20.12,"CSB1",60.2196044921875,1695
"MG12109","Betafo","MG12109150","Manohisoa",46.7872,-19.7151,"CSB1",214.150009155273,1696
"MG71713","Antsiranana II","MG71713252","Ambondrona",49.0431,-12.838,"CSB1",22.2872333526611,1697
"MG71713","Antsiranana II","MG71713253","Bobakilandy",49.0474,-12.6236,"CSB1",6.52428007125854,1698
"MG71713","Antsiranana II","MG71713090","Mangaoka",49.0883,-12.4108,"CSB1",77.3735656738281,1699
"MG71719","Ambanja","MG71719173","Maevatanana",48.5313,-13.8822,"CSB1",1119.37854003906,1700
"MG71719","Ambanja","MG71719190","Antafiambotry",48.4756,-13.3502,"CSB1",29.9033718109131,1701
"MG71717","Ambilobe","MG71717172","Ambodibonara",48.8452,-13.1937,"CSB1",493.199401855469,1702
"MG71718","Nosy-Be","MG71718003","Ambatozavavy",48.2766,-13.3147,"CSB1",106.924697875977,1703
"MG72710","Antalaha","MG72710152","Andampy",49.9251,-14.9121,"CSB1",49.8643913269043,1704
"MG31310","Toamasina II","MG31310212","Ampisokina",49.2843,-17.7607,"CSB1",82.8020095825195,1705
"MG72716","Vohemar","MG72716250","Ambinanin'andravory",49.7187,-13.8525,"CSB1",120.346817016602,1706
"MG72716","Vohemar","MG72716310","Antsirabe Nord",49.976,-13.9973,"CSB1",697.922180175781,1707
"MG72716","Vohemar","MG72716150","Tsarabaria",49.8317,-13.776,"CSB1",106.395935058594,1708
"MG21224","Vohibato","MG21224210","Vohibato Ouest",47.124,-21.6029,"CSB1",200.799377441406,1709
"MG21224","Vohibato","MG21224090","Ihazoara",47.2934,-21.5747,"CSB1",46.9210739135742,1710
"MG21208","Ambohimahasoa","MG21208090","Ankafina Tsarafidy",47.2387,-21.2726,"CSB1",134.63639831543,1711
"MG22203","Ambositra","MG22203551","Ambinanindrano",47.5846,-20.7271,"CSB1",318.007476806641,1712
"MG22204","Fandriana","MG22204090","Tsarazaza",47.3112,-20.2148,"CSB1",240.177490234375,1713
"MG31308","Mahanoro","MG31308110","Ambinanidilana",48.4977,-19.8408,"CSB1",113.554885864258,1714
"MG31308","Mahanoro","MG31308170","Ambinanindrano",48.2946,-20.0222,"CSB1",127.243743896484,1715
"MG31308","Mahanoro","MG31308190","Befotaka",48.2905,-20.2943,"CSB1",114.70475769043,1716
"MG25214","Vangaindrano","MG25214312","Vohimalaza",47.4963,-23.7013,"CSB1",84.3761596679688,1717
"MG24216","Ihosy","MG24216033","Tolohomiady",46.1361,-22.4351,"CSB1",177.968276977539,1718
"MG23211","Ikongo","MG23211011","Ikongo",47.4556,-21.8914,"CSB1",330.630889892578,1719
"MG42411","Analalava","MG42411131","Andribavontsona",47.501,-15.3868,"CSB1",97.1136169433594,1720
"MG42409","Port-Berge (Boriziny-Vaovao)","MG42409190","Port Berge II",47.6387,-15.4981,"CSB1",50.5650329589844,1721
"MG42410","Mandritsara","MG42410030","Antanandava",48.8125,-15.8622,"CSB1",109.057319641113,1722
"MG42410","Mandritsara","MG42410212","Tsarajomoka",48.6169,-15.8127,"CSB1",159.426559448242,1723
"MG41407","Mitsinjo","MG41407050","Matsakabanja",45.6041,-16.0184,"CSB1",0.424930363893509,1724
"MG32305","Fenerive Est","MG32305030","Ambodimanga II",49.36,-17.2817,"CSB1",183.988464355469,1725
"MG32305","Fenerive Est","MG32305238","Mahanoro",49.3074,-17.3526,"CSB1",692.826232910156,1726
"MG32303","Maroantsetra","MG32303151","Rantabe",49.6407,-15.7016,"CSB1",938.016723632812,1727
"MG32318","Soanierana Ivongo","MG32318130","Antenina",49.2836,-16.6408,"CSB1",311.493621826172,1728
"MG32315","Vavatenina","MG32315170","Ambodimangavalo",48.9679,-17.5717,"CSB1",36.7110862731934,1729
"MG42414","Bealanana","MG42414010","Bealanana",48.7228,-14.5972,"CSB1",116.546440124512,1730
"MG32304","Mananara-Avaratra","MG32304092","Tanibe",49.498,-16.4049,"CSB1",34.4719581604004,1731
"MG32304","Mananara-Avaratra","MG32304151","Vanono",49.5346,-16.0579,"CSB1",171.341552734375,1732
"MG43404","Maevatanana","MG43404172","Mahatsinjo",46.98,-17.7397,"CSB1",2.50328159332275,1733
"MG43404","Maevatanana","MG43404111","Tsararano",46.9463,-16.6901,"CSB1",20.203254699707,1734
"MG43408","Tsaratanana","MG43408150","Andriamena",47.5364,-17.5332,"CSB1",466.475067138672,1735
"MG44421","Maintirano","MG44421233","Bemokotra Sud",44.0971,-17.4104,"CSB1",10.0918045043945,1736
"MG44417","Ambatomainty","MG44417012","Bemarivo",45.7058,-17.575,"CSB1",18.7766761779785,1737
"MG44417","Ambatomainty","MG44417032","Marotsialeha",45.3345,-17.8206,"CSB1",7.08713579177856,1738
