"district","distcode","commune","commcode","long","lat","type","pop_dens","clinic_id"
"Mahajanga II","MG41415","Mahajamba Usine","MG41415091",47.0953,-15.7605,"CSB2",557.777099609375,43
"Antananarivo Atsimondrano","MG11117","Andranonahoatra","MG11117030",47.4774,-18.9162,"CSB2",23084.482421875,44
"Andramasina","MG11115","Ambohimiadana","MG11115091",47.7781,-19.2472,"CSB2",1665.9951171875,51
"Manjakandriana","MG11106","Manjakandriana","MG11106011",47.8161,-18.9212,"CSB2",2633.4677734375,70
"Antananarivo Avaradrano","MG11102","Ambohimangakely","MG11102099",47.5634,-18.893,"CSB2",12947.5390625,193
"Ambohidratrimo","MG11103","Antehiroka","MG11103070",47.4765,-18.8497,"CSB2",17654.994140625,227
"Fenoarivobe","MG14119","Fenoarivo Centre","MG14119010",46.5643,-18.4526,"CSB2",871.234802246094,235
"Soavinandriana","MG13113","Soavinandriana","MG13113011",46.7382,-19.1709,"CSB2",3348.10229492188,276
"Befotaka","MG25222","Beharena","MG25222052",46.83,-23.8631,"CSB2",703.798767089844,312
"Anjozorobe","MG11107","Anjozorobe","MG11107019",47.8795,-18.4027,"CSB2",1764.69897460938,337
"Ankazobe","MG11104","Ankazobe","MG11104010",47.1158,-18.3163,"CSB2",1103.29235839844,346
"Arivonimamo","MG13105","Imerintsiatosika","MG13105130",47.3222,-18.9777,"CSB2",3903.49536132812,415
"Antsirabe II","MG12118","Ambohibary","MG12118331",47.1368,-19.6184,"CSB2",3285.39013671875,419
"Ambatolampy","MG12110","Ambatolampy","MG12110010",47.4313,-19.3759,"CSB2",3039.16723632812,439
"Antanifotsy","MG12114","Antanifotsy","MG12114010",47.3245,-19.6608,"CSB2",4512.60205078125,467
"Betafo","MG12109","Betafo","MG12109010",46.856,-19.8351,"CSB2",4247.138671875,485
"Mandoto","MG12120","Ankazomiriotra","MG12120090",46.5329,-19.6587,"CSB2",1183.10473632812,495
"Faratsiho","MG12116","Faratsiho","MG12116010",46.951,-19.4078,"CSB2",1403.56774902344,500
"Antsiranana II","MG71713","Joffre Ville","MG71713033",49.2029,-12.4974,"CSB2",479.180786132812,518
"Ambanja","MG71719","Ambanja","MG71719010",48.4522,-13.6811,"CSB2",9552.5849609375,519
"Ambilobe","MG71717","Ambilobe","MG71717010",49.0469,-13.1959,"CSB2",2561.05395507812,540
"Andapa","MG72712","Andapa","MG72712010",49.653,-14.665,"CSB2",4162.6064453125,553
"Antalaha","MG72710","Antalaha Ambonivohitra","MG72710010",50.2809,-14.9069,"CSB2",5614.384765625,601
"Toamasina II","MG31310","Mahavelona (Foulpointe)","MG31310110",49.5131,-17.6769,"CSB2",1420.6416015625,625
"Vohemar","MG72716","Ampanefena","MG72716231",49.9488,-13.8607,"CSB2",1922.75964355469,652
"Vohibato","MG21224","Mahasoabe","MG21224010",47.2164,-21.5905,"CSB2",1282.25817871094,702
"Lalangina","MG21220","Mahatsinjony","MG21220111",47.2027,-21.4211,"CSB2",1297.49938964844,703
"Isandra","MG21225","Soatanana","MG21225130",46.9207,-21.3888,"CSB2",1358.80505371094,709
"Ambalavao","MG21205","Ambalavao","MG21205010",46.9384,-21.8302,"CSB2",4311.67724609375,714
"Ambohimahasoa","MG21208","Ambohimahasoa","MG21208010",47.2223,-21.1023,"CSB2",2572.06762695312,733
"Ikalamavony","MG21219","Ikalamavony","MG21219010",46.5971,-21.1636,"CSB2",1163.98474121094,752
"Ambatofinandrahana","MG22202","Ambatofinandrahana","MG22202010",46.801,-20.5537,"CSB2",2498.64428710938,784
"Fandriana","MG22204","Fandriana","MG22204010",47.3835,-20.2483,"CSB2",1074.05432128906,797
"Manandriana","MG22223","Ambovombe Centre","MG22223010",47.0769,-20.777,"CSB2",1071.77355957031,810
"Farafangana","MG25213","Farafangana","MG25213010",47.8311,-22.8228,"CSB2",8647.0771484375,826
"Midongy-Atsimo","MG25215","Nosifeno","MG25215011",47.0158,-23.5869,"CSB2",1069.41784667969,832
"Antanambao Manampontsy","MG31311","Mahela","MG31311030",48.4879,-19.4962,"CSB2",213.067794799805,843
"Mahanoro","MG31308","Mahanoro","MG31308011",48.8061,-19.8946,"CSB2",4772.27490234375,854
