"district","distcode","commune","commcode","long","lat","type","pop_dens","clinic_id"
"Ambatolampy","MG12110","Antanamalaza","MG12110291",47.6277,-19.4275,"CSB2",864.901977539062,32
"Mandoto","MG12120","Ankazomiriotra","MG12120090",46.4397,-19.6764,"CSB2",65.8284606933594,33
"Antanifotsy","MG12114","Antanifotsy","MG12114010",47.326,-19.6617,"CSB2",955.009521484375,34
"Farafangana","MG25213","Ambohigogo","MG25213270",47.5838,-22.7738,"CSB2",361.595642089844,35
"Farafangana","MG25213","Etrotroka Atsimo","MG25213390",47.553,-22.8635,"CSB2",270.068420410156,36
"Farafangana","MG25213","Tovona","MG25213450",47.6053,-22.9579,"CSB2",33.599796295166,37
"Vondrozo","MG25217","Vondrozo","MG25217011",47.3297,-22.8136,"CSB2",322.777282714844,38
"Mananjary","MG23209","Mananjary","MG23209010",48.3458,-21.2063,"CSB2",192.029754638672,39
"Mahajanga I","MG41401","Mahabibo","MG41401002",46.3443,-15.6982,"CSB2",1128.05786132812,40
"Mahajanga I","MG41401","Mahajanga","MG41401001",46.3181,-15.7148,"CSB2",31580.787109375,41
"Befandriana Nord","MG42412","Antsakabary","MG42412210",48.9374,-15.1053,"CSB2",950.620727539062,42
"Mahajanga II","MG41415","Mahajamba Usine","MG41415091",47.0953,-15.7605,"CSB2",557.777099609375,43
"Antananarivo Atsimondrano","MG11117","Andranonahoatra","MG11117030",47.4774,-18.9162,"CSB2",23084.482421875,44
"Antananarivo Renivohitra","MG11101","4e Arrondissement","MG11101004",47.4983,-18.9282,"CSB2",23685.29296875,45
"Moramanga","MG33314","Moramanga","MG33314010",48.2302,-18.9488,"CSB2",8118.14111328125,46
"Toamasina I","MG31301","Ankirihiry","MG31301005",49.3769,-18.1439,"CSB2",2666.51513671875,47
"Toamasina I","MG31301","Ankirihiry","MG31301005",49.3766,-18.1353,"CSB2",1839.78723144531,48
"Nosy-Be","MG71718","Hell-Ville","MG71718001",48.2783,-13.4062,"CSB2",NA,49
"Ihosy","MG24216","Ihosy","MG24216010",46.124,-22.4007,"CSB2",5538.00390625,50
"Andramasina","MG11115","Ambohimiadana","MG11115091",47.7781,-19.2472,"CSB2",1665.9951171875,51
