"distcode","district","commcode","commune","lat","long","clinic_id","pop_dens"
"MG13112","Miarinarivo","MG13112010","Miarinarivo I",-18.9553,46.902,1680,4373.60498046875
"MG13113","Soavinandriana","MG13113050","Mananasy",-19.1508,46.6494,1681,328.94384765625
"MG11107","Anjozorobe","MG11107290","Androvakely",-18.3971,47.5175,1682,142.657409667969
"MG11106","Manjakandriana","MG11106271","Ambohitseheno",-18.7832,47.7748,1683,582.722106933594
"MG11106","Manjakandriana","MG11106110","Mantasoa",-19.0108,47.8332,1684,204.509048461914
"MG12114","Antanifotsy","MG12114171","Ambohitompoina",-19.8012,47.6657,1685,60.0452575683594
"MG12109","Betafo","MG12109230","Alakamisy Marososona",-20.1001,46.9107,1686,202.877136230469
"MG71715","Antsiranana I","MG71715009","Diego Suarez",-12.2832,49.294,1687,7885.28125
"MG71718","Nosy-Be","MG71718001","Hell-Ville",-13.4049,48.2748,1688,5889.5830078125
"MG72710","Antalaha","MG72710272","Ampanavoana",-15.6984,50.3546,1689,221.009460449219
"MG72716","Vohemar","MG72716250","Ambinanin'andravory",-13.7718,49.7512,1690,184.74333190918
"MG42410","Mandritsara","MG42410010","Mandritsara",-15.8462,48.8272,1691,7968.92041015625
"MG72716","Vohemar","MG72716310","Antsirabe Nord",-13.9761,49.9677,1692,1480.80517578125
"MG72716","Vohemar","MG72716150","Tsarabaria",-13.7573,49.9491,1693,703.398010253906
"MG21220","Lalangina","MG21220250","Alakamisy Ambohimaha",-21.325,47.2197,1694,893.275268554688
"MG22203","Ambositra","MG22203551","Ambinanindrano",-20.6803,47.5647,1695,368.701385498047
"MG22204","Fandriana","MG22204090","Tsarazaza",-20.166,47.3083,1696,269.358612060547
"MG31308","Mahanoro","MG31308110","Ambinanidilana",-19.9036,48.4718,1697,100.028457641602
"MG31308","Mahanoro","MG31308170","Ambinanindrano",-20.0881,48.378,1698,967.145080566406
"MG31308","Mahanoro","MG31308190","Befotaka",-20.2657,48.3699,1699,194.123443603516
