"district","distcode","commune","commcode","lat","long","clinic_id","pop_dens"
"Mahajanga II","MG41415","Mahajamba Usine","MG41415091",-15.7605,47.0953,43,557.777099609375
"Antananarivo Atsimondrano","MG11117","Andranonahoatra","MG11117030",-18.9162,47.4774,44,23084.482421875
"Andramasina","MG11115","Ambohimiadana","MG11115091",-19.2472,47.7781,51,1665.9951171875
"Manjakandriana","MG11106","Manjakandriana","MG11106011",-18.9212,47.8161,70,2633.4677734375
"Antananarivo Avaradrano","MG11102","Ambohimangakely","MG11102099",-18.893,47.5634,193,12947.5390625
"Ambohidratrimo","MG11103","Antehiroka","MG11103070",-18.8497,47.4765,227,17654.994140625
"Fenoarivobe","MG14119","Fenoarivo Centre","MG14119010",-18.4526,46.5643,235,871.234802246094
"Soavinandriana","MG13113","Soavinandriana","MG13113011",-19.1709,46.7382,276,3348.10229492188
"Befotaka","MG25222","Beharena","MG25222052",-23.8631,46.83,312,703.798767089844
"Anjozorobe","MG11107","Anjozorobe","MG11107019",-18.4027,47.8795,337,1764.69897460938
"Ankazobe","MG11104","Ankazobe","MG11104010",-18.3163,47.1158,346,1103.29235839844
"Arivonimamo","MG13105","Imerintsiatosika","MG13105130",-18.9777,47.3222,415,3903.49536132812
"Antsirabe II","MG12118","Ambohibary","MG12118331",-19.6184,47.1368,419,3285.39013671875
"Ambatolampy","MG12110","Ambatolampy","MG12110010",-19.3759,47.4313,439,3039.16723632812
"Antanifotsy","MG12114","Antanifotsy","MG12114010",-19.6608,47.3245,467,4512.60205078125
"Betafo","MG12109","Betafo","MG12109010",-19.8351,46.856,485,4247.138671875
"Mandoto","MG12120","Ankazomiriotra","MG12120090",-19.6587,46.5329,495,1183.10473632812
"Faratsiho","MG12116","Faratsiho","MG12116010",-19.4078,46.951,500,1403.56774902344
"Antsiranana II","MG71713","Joffre Ville","MG71713033",-12.4974,49.2029,518,479.180786132812
"Ambanja","MG71719","Ambanja","MG71719010",-13.6811,48.4522,519,9552.5849609375
"Ambilobe","MG71717","Ambilobe","MG71717010",-13.1959,49.0469,540,2561.05395507812
"Andapa","MG72712","Andapa","MG72712010",-14.665,49.653,553,4162.6064453125
"Antalaha","MG72710","Antalaha Ambonivohitra","MG72710010",-14.9069,50.2809,601,5614.384765625
"Toamasina II","MG31310","Mahavelona (Foulpointe)","MG31310110",-17.6769,49.5131,625,1422.65686035156
"Vohemar","MG72716","Ampanefena","MG72716231",-13.8607,49.9488,652,1922.75964355469
"Vohibato","MG21224","Mahasoabe","MG21224010",-21.5905,47.2164,702,1282.25817871094
"Lalangina","MG21220","Mahatsinjony","MG21220111",-21.4211,47.2027,703,1297.49938964844
"Isandra","MG21225","Soatanana","MG21225130",-21.3888,46.9207,709,1358.80505371094
"Ambalavao","MG21205","Ambalavao","MG21205010",-21.8302,46.9384,714,4311.67724609375
"Ambohimahasoa","MG21208","Ambohimahasoa","MG21208010",-21.1023,47.2223,733,2572.06762695312
"Ikalamavony","MG21219","Ikalamavony","MG21219010",-21.1636,46.5971,752,1163.98474121094
"Ambatofinandrahana","MG22202","Ambatofinandrahana","MG22202010",-20.5537,46.801,784,2498.64428710938
"Fandriana","MG22204","Fandriana","MG22204010",-20.2483,47.3835,797,1074.05432128906
"Manandriana","MG22223","Ambovombe Centre","MG22223010",-20.777,47.0769,810,1071.77355957031
"Farafangana","MG25213","Farafangana","MG25213010",-22.8228,47.8311,826,8647.0771484375
"Midongy-Atsimo","MG25215","Nosifeno","MG25215011",-23.5869,47.0158,832,1069.41784667969
"Antanambao Manampontsy","MG31311","Mahela","MG31311030",-19.4962,48.4879,843,213.067794799805
"Mahanoro","MG31308","Mahanoro","MG31308011",-19.8946,48.8061,854,4772.27490234375
"Mananjary","MG23209","Mananjary","MG23209010",-21.2374,48.3458,868,5577.06494140625
"Vondrozo","MG25217","Vondrozo","MG25217011",-22.8211,47.3219,905,1573.45654296875
"Iakora","MG24221","Iakora","MG24221010",-23.1005,46.6601,925,777.645446777344
"Ivohibe","MG24218","Ivohibe","MG24218010",-22.4835,46.8847,928,706.797180175781
"Ifanadiana","MG23206","Ifanadiana","MG23206011",-21.3016,47.6375,980,1098.53894042969
"Ikongo","MG23211","Ankarimbelo","MG23211111",-22.1337,47.3293,991,993.131042480469
"Port-Berge (Boriziny-Vaovao)","MG42409","Port Berge","MG42409010",-15.5646,47.6259,1034,1449.052734375
"Mampikony","MG42423","Mampikony I","MG42423010",-16.0933,47.6469,1046,3771.49487304688
"Nosy-Varika","MG23207","Fiadanana","MG23207051",-20.4396,48.3808,1065,453.188110351562
"Vohipeno","MG23212","Andemaka","MG23212190",-22.2792,47.7515,1072,2541.41625976562
"Ambato Boeni","MG41405","Ambato Ambarimay","MG41405019",-16.4687,46.7185,1111,3792.69604492188
"Marovoay","MG41406","Marovoay Ville","MG41406010",-16.1044,46.6431,1124,9331.1064453125
"Mitsinjo","MG41407","Mitsinjo","MG41407011",-16.0087,45.8714,1132,539.335021972656
"Soalala","MG41403","Soalala","MG41403010",-16.1013,45.3267,1137,789.036376953125
"Fenerive Est","MG32305","Fenerive Est","MG32305010",-17.3833,49.412,1152,8368.5498046875
"Vavatenina","MG32315","Vavatenina","MG32315010",-17.4662,49.2008,1179,888.337829589844
"Mananara-Avaratra","MG32304","Mananara Avaratra","MG32304011",-16.17,49.768,1191,2867.40600585938
"Kandreho","MG43416","Kandreho","MG43416011",-17.4856,46.0966,1217,635.635192871094
"Tsaratanana","MG43408","Tsaratanana","MG43408010",-16.7967,47.6532,1227,3705.94995117188
"Antsalova","MG44420","Antsalova","MG44420010",-18.6791,44.624,1247,568.331726074219
"Besalampy","MG44402","Besalampy","MG44402011",-16.7446,44.4875,1256,685.336303710938
"Morafenobe","MG44422","Morafenobe","MG44422010",-17.8179,44.9239,1260,515.976989746094
"Tsihombe","MG52514","Antaritarika","MG52514071",-25.3941,45.7552,1276,723.343994140625
"Miandrivazo","MG54511","Miandrivazo","MG54511011",-19.5296,45.4573,1296,1707.86071777344
"Vatomandry","MG31307","Vatomandry","MG31307010",-19.3303,48.9815,1316,4843.54833984375
"Brickaville","MG31306","Brickaville","MG31306010",-18.8175,49.0719,1318,2666.14526367188
"Analalava","MG42411","Analalava","MG42411011",-14.6301,47.7505,1353,841.961181640625
"Bealanana","MG42414","Ambatoriha Est","MG42414090",-14.461,48.9557,1359,1296.32653808594
"Befandriana Nord","MG42412","Befandriana Nord","MG42412010",-15.2555,48.5392,1375,7307.609375
"Amboasary-Atsimo","MG53519","Amboasary Atsimo","MG53519010",-25.0395,46.3851,1411,3597.39965820312
"Betroka","MG53517","Betroka","MG53517010",-23.2747,46.0957,1436,12074.482421875
"Belo Sur Tsiribihina","MG54510","Belo Sur Tsiribihina","MG54510011",-19.7001,44.547,1464,5854.25927734375
"Mahabo","MG54509","Mahabo","MG54509010",-20.3791,44.6636,1476,4533.642578125
"Amparafaravola","MG33312","Amparafaravola","MG33312011",-17.5887,48.2215,1491,5038.45458984375
"Andilamena","MG33316","Andilamena","MG33316011",-17.0138,48.5713,1503,3699.44799804688
"Anosibe-An'ala","MG33317","Anosibe An'ala","MG33317011",-19.441,48.2068,1511,4548.8271484375
"Toliary-II","MG51520","Ankililoaka","MG51520310",-22.7775,43.6134,1569,1222.76452636719
