"district","distcode","commune","commcode","clinic_id","long","lat"
"Ambatolampy","MG12110","Antanamalaza","MG12110291",32,47.6277,-19.4275
"Mandoto","MG12120","Ankazomiriotra","MG12120090",33,46.4397,-19.6764
"Antanifotsy","MG12114","Antanifotsy","MG12114010",34,47.326,-19.6617
"Farafangana","MG25213","Ambohigogo","MG25213270",35,47.5838,-22.7738
"Farafangana","MG25213","Etrotroka Atsimo","MG25213390",36,47.553,-22.8635
"Farafangana","MG25213","Tovona","MG25213450",37,47.6053,-22.9579
"Vondrozo","MG25217","Vondrozo","MG25217011",38,47.3297,-22.8136
"Mananjary","MG23209","Mananjary","MG23209010",39,48.3458,-21.2063
"Mahajanga I","MG41401","Mahabibo","MG41401002",40,46.3443,-15.6982
"Mahajanga I","MG41401","Mahajanga","MG41401001",41,46.3181,-15.7148
"Befandriana Nord","MG42412","Antsakabary","MG42412210",42,48.9374,-15.1053
"Mahajanga II","MG41415","Mahajamba Usine","MG41415091",43,47.0953,-15.7605
"Antananarivo Atsimondrano","MG11117","Andranonahoatra","MG11117030",44,47.4774,-18.9162
"Antananarivo Renivohitra","MG11101","4e Arrondissement","MG11101004",45,47.4983,-18.9282
"Moramanga","MG33314","Moramanga","MG33314010",46,48.2302,-18.9488
"Toamasina I","MG31301","Ankirihiry","MG31301005",47,49.3769,-18.1439
"Toamasina I","MG31301","Ankirihiry","MG31301005",48,49.3766,-18.1353
"Nosy-Be","MG71718","Hell-Ville","MG71718001",49,48.2783,-13.4062
"Ihosy","MG24216","Ihosy","MG24216010",50,46.124,-22.4007
"Andramasina","MG11115","Ambohimiadana","MG11115091",51,47.7781,-19.2472
"Andramasina","MG11115","Anosibe Trimoloharano","MG11115170",52,47.7673,-19.1633
"Soavinandriana","MG13113","Amparibohitra","MG13113072",53,46.7192,-19.2422
"Arivonimamo","MG13105","Arivonimamo I","MG13105010",54,47.1816,-19.0165
"Antalaha","MG72710","Vinanivao","MG72710271",55,50.2748,-15.883
"Farafangana","MG25213","Ambalavato Nord","MG25213410",56,47.5524,-22.6127
"Maintirano","MG44421","Maintirano","MG44421010",57,44.0261,-18.0524
"Vatomandry","MG31307","Iamborano","MG31307092",58,48.7752,-19.3945
"Amparafaravola","MG33312","Tanambe","MG33312111",59,48.4511,-17.3851
"Tsihombe","MG52514","Anjampaly","MG52514032",60,45.6759,-25.4401
"Tsihombe","MG52514","Imongy","MG52514072",61,45.7243,-25.2971
"Antananarivo Renivohitra","MG11101","1er Arrondissement","MG11101001",62,47.5265,-18.9103
"Antananarivo Renivohitra","MG11101","2e Arrondissement","MG11101002",63,47.5344,-18.9257
"Antananarivo Renivohitra","MG11101","3e Arrondissement","MG11101003",64,47.5429,-18.9035
"Antananarivo Renivohitra","MG11101","4e Arrondissement","MG11101004",65,47.5045,-18.9242
