"names_tomatch","nest","fixed_best","min_fixed","partial_best","min_partial","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45"
"fir v","MG11101","1er arrondissement",16,"1er arrondissement",3,"1er arrondissement","2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fir i","MG11101","1er arrondissement",15,"1er arrondissement",3,"1er arrondissement","2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fir vi","MG11101","1er arrondissement",15,"1er arrondissement",4,"1er arrondissement","2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fir iv","MG11101","1er arrondissement",15,"1er arrondissement",4,"1er arrondissement","2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fir iii","MG11101","1er arrondissement",15,"1er arrondissement",5,"1er arrondissement","2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fir ii","MG11101","1er arrondissement",15,"1er arrondissement",4,"1er arrondissement","2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"antananarivo","MG11101","2e arrondissement",15,"1er arrondissement",9,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"MG11101","1er arrondissement",NA,"1er arrondissement",NA,"1er arrondissement","2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bemasoandro","MG11101","2e arrondissement",13,"1er arrondissement",7,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ivato","MG11101","2e arrondissement",15,"1er arrondissement",4,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
