"names_tomatch","nest","fixed_best","min_fixed","partial_best","min_partial","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45"
"4e arrondissement","MG11101","4e arrondissement",0,"4e arrondissement",0,"4e arrondissement","2e arrondissement","3e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2e arrondissement","MG11101","2e arrondissement",0,"2e arrondissement",0,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3e arrondissement","MG11101","3e arrondissement",0,"3e arrondissement",0,"3e arrondissement","2e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5e arrondissement","MG11101","5e arrondissement",0,"5e arrondissement",0,"5e arrondissement","2e arrondissement","3e arrondissement","4e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1er arrondissement","MG11101","1er arrondissement",0,"1er arrondissement",0,"1er arrondissement","2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6e arrondissement","MG11101","6e arrondissement",0,"6e arrondissement",0,"6e arrondissement","2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alasora","MG11102","alasora",0,"alasora",0,"alasora","fiaferana","masindray","manandriana","viliahazo","anjeva gara","ambohimanambola","ankadinandriana","ambohimanga rova","talata volonondry","ankadikely ilafy","sabotsy namehana","ambohimangakely","ambohimalaza miray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ankadikely ilafy","MG11102","ankadikely ilafy",0,"ankadikely ilafy",0,"ankadikely ilafy","ankadinandriana","anjeva gara","manandriana","ambohimalaza miray","masindray","alasora","ambohimanambola","ambohimangakely","fiaferana","viliahazo","ambohimanga rova","talata volonondry","sabotsy namehana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ambohimiadana","MG11115","ambohimiadana",0,"ambohimiadana",0,"ambohimiadana","andohariana","andramasina","antotohazo","mandrosoa","tankafatra","alarobia vatosola","alatsinainy bakaro","anosibe trimoloharano","sabotsy ambohitromby","fitsinjovana bakaro","sabotsy manjakavahoaka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ankaraobato","MG11117","ankaraobato",0,"ankaraobato",0,"ankaraobato","tanjombato","ambalavao","ankadimanga","androhibe","bemasoandro","andoharanofotsy","fenoarivo","ambatofahavalo","andranonahoatra","ambohidrapeto","fiombonana","itaosy","soalandy","antanetikely","ampanefy","soavina","ampahitrosy","bongatsara","tsiafahy","ampitatafika","ambohijanaka","ambavahaditokana","anosizato andrefana","alakamisy fenoarivo","alatsinainy ambazaha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
