"names_tomatch","nest","fixed_best","min_fixed","partial_best","min_partial","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45"
"itaosy","MG11101","2e arrondissement",14,"1er arrondissement",4,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"antananarivo","MG11101","2e arrondissement",15,"1er arrondissement",9,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6 eme","MG11101","6e arrondissement",12,"1er arrondissement",2,"6e arrondissement","2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tana","MG11101","2e arrondissement",15,"1er arrondissement",3,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"antananarivo renivohitra","MG11101","2e arrondissement",19,"1er arrondissement",18,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ambohidratrimo","MG11101","2e arrondissement",14,"1er arrondissement",10,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"antanimora","MG11101","2e arrondissement",13,"1er arrondissement",8,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ampitatafika","MG11101","2e arrondissement",16,"1er arrondissement",10,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"an/vo","MG11101","2e arrondissement",15,"1er arrondissement",3,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"antananarivo i","MG11101","2e arrondissement",15,"1er arrondissement",11,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"antananarivo  renivohitra","MG11101","2e arrondissement",20,"1er arrondissement",19,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suise","MG11101","2e arrondissement",14,"1er arrondissement",2,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"europeen","MG11101","2e arrondissement",11,"1er arrondissement",5,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"firaisana v","MG11101","1er arrondissement",14,"1er arrondissement",9,"1er arrondissement","2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tananarivo","MG11101","2e arrondissement",15,"1er arrondissement",7,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"allemange","MG11101","2e arrondissement",14,"1er arrondissement",6,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"androhibe","MG11101","2e arrondissement",13,"1er arrondissement",6,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fahadimy","MG11101","2e arrondissement",13,"1er arrondissement",6,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"natananarivo","MG11101","2e arrondissement",15,"1er arrondissement",9,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" antananarivo","MG11101","2e arrondissement",14,"1er arrondissement",9,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"angletere","MG11101","2e arrondissement",13,"1er arrondissement",6,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soavinandriana","MG11101","2e arrondissement",14,"1er arrondissement",10,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"andavamamba","MG11101","2e arrondissement",14,"1er arrondissement",8,"2e arrondissement","3e arrondissement","4e arrondissement","5e arrondissement","6e arrondissement","1er arrondissement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
