col_number_WiseMonkey,og.colnames,new.colnames,note
1,Created,NULL,
2,Created.By,NULL,
3,Reference,reference.ctar,
4,Parent.Reference,reference.triage,
5,Date.of.consultation,date.reported,
6,CTAR,CTAR,
7,Type.of.consultation,consult.type,
8,Biter.ID,biter.ID,
9,CTAR.ID,ctar.ID,
10,Full.Name,name,not included
11,Age,age,
12,Name.of.parent.guardian..if.applicable,name.parent,not included
13,Sex,sex,
14,Patient.Home,patient.location,
15,Fokontany,fokontany,not included
16,Telephone.number.or.other.ways.to.find.the.person,NULL,not included
17,Date.of.exposure,date.bitten,
18,Time.of.contact,time.bitten,
19,Type.of.contact.Skin.broken,wound.type.skin.broken,
20,Type.of.contact.Aerosol.exposure,wound.type.aerosol,
21,Type.of.contact.Mucosol.exposure,wound.type.mucosal,
22,Type.of.contact.Superficial.wound,wound.type.superficial,
23,Type.of.contact.Deep.wound,wound.type.deep,
24,Type.of.contact.Scratch,wound.type.scratch,
25,Type.of.contact.Bite,wound.type.bite,
26,Type.of.contact.Multiple.wounds,wound.type.multiple,
27,Type.of.contact.Bitten.through.clothing,wound.type.over.clothes,
28,Location.of.wound.Head.and.or.neck,wound.location.head.or.neck,
29,Location.of.wound.Arms,wound.location.arms,
30,Location.of.wound.Hands,wound.location.hands,
31,Location.of.wound.Legs,wound.location.legs,
32,Location.of.wound.Feet,wound.location.feet,
33,Location.of.wound.Upper.body.Torso,wound.location.upper.body,
34,Location.of.wound.Intimate.parts,wound.location.groin.buttocks,
35,Location.of.wound.Thigh,wound.location.thigh,
36,Was.the.bite.related.to.any.of.these.circumstances..in.heat.or.pregnant,provoked.heat.pregnant,
37,Was.the.bite.related.to.any.of.these.circumstances..mother.animal.with.young..i.e..dog.with.puppies.,provoked.with.puppies,
38,Was.the.bite.related.to.any.of.these.circumstances..interaction.involving.food.object,provoked.food,
39,Was.the.bite.related.to.any.of.these.circumstances..running.or.playing.with.animal,provoked.play,
40,Was.the.bite.related.to.any.of.these.circumstances..when.entering.property.of.owner,provoked.guard,
41,Was.the.bite.related.to.any.of.these.circumstances..pulling.tail.ear..kicking..hitting.the.animal.before.bite,provoked.antagonized,
42,Was.the.bite.related.to.any.of.these.circumstances..history.of.aggression..i.e..has.bitten.other.people.in.the.past.,provoked.habitual,
43,Did.they.wash.the.wound.with.soap.and.water.after.the.bite.,washed.wound.home,
44,Was.the.wound.washed.at.the.hospital.,washed.wound.hospital,
45,Did.they.receive.antibiotics.,antibiotics,
46,Did.they.receive.a.tetanus.vaccine.,tetanus,
47,PEP.administered.,pep,
48,Referred.to.IPM.for.RIG.,rig,
49,Why.did.they.not.receive.PEP.,why.no.pep,
50,Did.the.seek.treatment.at.another.type.of.hospital.before.attending.the.CTAR.,other.hospitals,
51,Date.first.reported.,date.first.reported,
52,If.the.date.is.not.precise..indicate.the.uncertainty.,date.first.reported.uncertainty,
53,CSB.I.,csb1,
54,Name.of..CSB.I.,name.csb1,
55,CSB.II.,csb2,
56,Name.of.CSB.II.,name.csb2,
57,Traditional.healer.,traditional.healer,
58,Private.clinic,private.clinic,
59,Was.the.wound.sutured.,sutured,
60,Did.the.person.receive.any.other.type.of.treatment.of.first.aid.,first.aid,
61,What.type.of.transport.did.they.use.to.go.to.the.hospital..Private.car,transport.car,
62,What.type.of.transport.did.they.use.to.go.to.the.hospital..Motorbike,transport.motorbike,
63,What.type.of.transport.did.they.use.to.go.to.the.hospital..Ambulance,transport.ambulance,
64,What.type.of.transport.did.they.use.to.go.to.the.hospital..By.foot,transport.foot,
65,What.type.of.transport.did.they.use.to.go.to.the.hospital..Bus,transport.bus,
66,What.type.of.transport.did.they.use.to.go.to.the.hospital..Bicycle,transport.bycicle,
67,What.type.of.transport.did.they.use.to.go.to.the.hospital..Pus.Pus,transport.puspus,
68,What.type.of.transport.did.they.use.to.go.to.the.hospital..Other,transport.other,
69,Was.this.person.accompanied.by.someone.else.,accompanied,
70,How.many.hours.did.it.take.to.travel.from.your.home.to.the.CTAR.,travel.time.hours,
71,PEP.Status,pep.status,
72,Patient.Outcome,outcome,
73,Symptoms.of.person..Unprovoked.aggression...abnormal.behaviour,human.unprovoked.agression,
74,Symptoms.of.person..Excessive.salivation,human.exccess.salivation,
75,Symptoms.of.person..Aerophobia,human.aerophobia,
76,Symptoms.of.person..Hydrophobia,human.hydrophobia,
77,Symptoms.of.person..Unexplained.dullness...lethargy,human.lethargy,
78,Symptoms.of.person..Hypersexuality,human.hypersexuality,
79,Symptoms.of.person..Paralysis,human.paralysis,
80,Symptoms.of.person..Abnormal.vocalisation,human.vocalization,
81,Symptoms.of.person..Fever,human.fever,
82,Symptoms.of.person..Nausea,human.nausea,
83,Symptoms.of.person..Pain.at.site.of.bite,human.pain.bite,
84,Symptoms.of.person..Other,human.other,
85,Date.of.death.,date.death,
86,Date.uncertainty.,date.death.uncertainty,
87,Was.a.sample.taken.from.the.patient.,human.sample,not included
88,Sample.number.,sample.number,not included
89,If.other..specify.,other.symptoms,not included
90,Notes,notes,not included
