N*,CTAR,,LATITUDE,LONGITUDE
1,Institut pasteur de Madagascar,Antananarivo Renivohitra,-18.902442,47.546393
2,Antsirabe,Antsirabe I,-19.861848,47.031927
3,Miarinarivo,Miarinarivo,-18.955352,46.906817
4,Tsiroanomandidy,Tsiroanomandidy,-18.770467,46.048759
5,Fianarantsoa,Fianarantsoa I,-21.447789,47.090258
6,Ambositra,Ambositra,-20.533238,47.246737
7,Manakara,Manakara,-22.141653,48.009766
8,Vangaindrano,Vangaindrano,-23.350070,47.589842
9,Ihosy,Ihosy,-22.403525,46.131918
10,Toamasina,Toamasina I,-18.142287,49.416074
11,Ambatondrazaka,Ambatondrazaka,-17.800549,48.367196
12,Maroantsetra,Maroantsetra,-15.437266,49.733541
13,Sainte Marie,Sainte Marie,-16.894431,49.905941
14,Mahajanga,Mahajanga I,-15.714389,46.360619
15,Antsohihy,Antsohihy,-14.874494,47.984261
16,Maintirano,Maintirano,-18.062113,44.023416
17,Morondava,Morondava,-20.299879,44.298995
18,Maevatanana,Maevatanana,-17.611342,46.934863
19,Ambatomainty,Ambatomainty,-17.695305,45.662934
20,Toliara,Toliara I,-23.353640,43.677518
21,Ambovombe Androy,Ambovombe Androy,-25.175011,46.087956
22,Taolagnaro,Taolangaro,-25.027275,46.968792
23,Antsiranana,Antsiranana I,-12.286387,49.293614
24,Sambava,Sambava,-14.265294,50.135233
25,Nosy be,Nosy Be,-13.397579,48.26651
26,Moramanga,Moramanga,-18.949764,48.238312
27,Mandritsara,Mandritsara,-15.827943,48.829116
28,Marolambo,Marolambo,-20.059117,48.13323
29,Soanierana Ivongo,Soanierana Ivongo,-16.921647,49.584834
30,Manja,Manja,-21.432551,44.329136
31,Bekily,Bekily,-24.220654,45.318208
