Commune,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Ambatovola,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1
Amboasary,3,0,0,2,7,3,2,1,0,0,1,2,3,2,1,1
Ambohibary,1,10,7,7,7,4,4,8,4,4,5,4,4,7,4,4
Ambohidronono,0,0,3,0,0,0,3,0,0,0,1,1,0,0,0,2
Ampasimpotsy Gara,0,0,0,0,0,0,1,0,0,2,0,1,0,0,2,0
Ampasipotsy Mandialaza,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Andaingo,0,1,0,0,2,6,1,0,0,4,2,3,1,4,2,3
Andasibe,0,1,1,2,2,1,2,0,0,0,0,0,3,2,6,4
Anosibe Ifody,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Antanandava,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Antaniditra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Beforona,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1
Belavabary,1,0,0,2,0,0,0,1,1,0,0,0,0,0,2,1
Fierenana,4,2,2,1,3,1,2,4,0,0,1,3,0,1,0,0
Lakato,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mandialaza,0,0,0,0,2,2,1,0,0,0,2,0,0,0,0,1
Mangarivotra,1,0,0,1,0,0,3,0,0,0,1,1,1,0,0,1
Moramanga,14,22,33,32,30,14,22,17,25,23,30,39,34,28,28,28
Morarano Gara,2,3,4,11,6,4,1,2,2,5,4,4,1,3,2,1
Sabotsy Anjiro,0,1,1,1,1,2,0,1,0,3,1,0,1,3,0,1
Vodiriana,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,2
