"ran","timestamp","jobtime","max_mem","ncores","path","r_version","os","system","timezone"
"##------ Fri Oct  2 20:24:02 2020 ------##",2020-10-02 20:24:02,"3.67 min","2.51 Gb",3,"analysis/src/01_ttimes/01_baseline.R","R version 4.0.2 (2020-06-22)","macOS Mojave 10.14.6","x86_64-apple-darwin17.0 (64-bit)","America/Los_Angeles"
"##------ Fri Oct  2 20:26:09 2020 ------##",2020-10-02 20:26:09,"2.12 min","185.9 Mb",3,"analysis/src/01_ttimes/02_groundtruth.R","R version 4.0.2 (2020-06-22)","macOS Mojave 10.14.6","x86_64-apple-darwin17.0 (64-bit)","America/Los_Angeles"
"##------ Fri Oct  2 20:26:12 2020 ------##",2020-10-02 20:26:12,"2.17 sec","139.6 Mb",1,"analysis/src/02_bitedata/01_bite_incidence.R","R version 4.0.2 (2020-06-22)","macOS Mojave 10.14.6","x86_64-apple-darwin17.0 (64-bit)","America/Los_Angeles"
"##------ Fri Oct  2 20:26:23 2020 ------##",2020-10-02 20:26:23,"10.12 sec","130.4 Mb",1,"analysis/src/02_bitedata/02_bite_incidence_se.R","R version 4.0.2 (2020-06-22)","macOS Mojave 10.14.6","x86_64-apple-darwin17.0 (64-bit)","America/Los_Angeles"
"##------ Fri Oct  2 21:32:05 2020 ------##",2020-10-02 21:32:05,"1.29 min","219.4 Mb",1,"analysis/src/03_bitemodels/02_get_modpreds.R","R version 4.0.2 (2020-06-22)","macOS Mojave 10.14.6","x86_64-apple-darwin17.0 (64-bit)","America/Los_Angeles"
"##------ Sat Oct  3 11:01:58 2020 ------##",2020-10-03 11:01:58,"1.51 sec","57 Mb",1,"analysis/src/05_predictions/02_se_pars.R","R version 4.0.2 (2020-06-22)","macOS Mojave 10.14.6","x86_64-apple-darwin17.0 (64-bit)","America/Los_Angeles"
"##------ Sat Oct  3 16:14:24 2020 ------##",2020-10-03 16:14:24,"15.94 sec","881.9 Mb",1,"analysis/src/figures/M2_ttimes.R","R version 4.0.2 (2020-06-22)","macOS Mojave 10.14.6","x86_64-apple-darwin17.0 (64-bit)","America/Los_Angeles"
"##------ Sat Oct  3 16:14:37 2020 ------##",2020-10-03 16:14:37,"13.38 sec","267.5 Mb",1,"analysis/src/figures/M3_bitemaps.R","R version 4.0.2 (2020-06-22)","macOS Mojave 10.14.6","x86_64-apple-darwin17.0 (64-bit)","America/Los_Angeles"
"##------ Sat Oct  3 16:14:47 2020 ------##",2020-10-03 16:14:47,"8.52 sec","1.18 Gb",1,"analysis/src/figures/M4_modpreds.R","R version 4.0.2 (2020-06-22)","macOS Mojave 10.14.6","x86_64-apple-darwin17.0 (64-bit)","America/Los_Angeles"
"##------ Sat Oct  3 16:15:11 2020 ------##",2020-10-03 16:15:11,"22.93 sec","964.7 Mb",1,"analysis/src/figures/M5_burden.R","R version 4.0.2 (2020-06-22)","macOS Mojave 10.14.6","x86_64-apple-darwin17.0 (64-bit)","America/Los_Angeles"
"##------ Sat Oct  3 16:15:15 2020 ------##",2020-10-03 16:15:15,"3.47 sec","100.6 Mb",1,"analysis/src/figures/M6_incremental.R","R version 4.0.2 (2020-06-22)","macOS Mojave 10.14.6","x86_64-apple-darwin17.0 (64-bit)","America/Los_Angeles"
"##------ Sat Oct  3 16:15:39 2020 ------##",2020-10-03 16:15:39,"23.12 sec","926.1 Mb",1,"analysis/src/figures/SM1_ttimes.R","R version 4.0.2 (2020-06-22)","macOS Mojave 10.14.6","x86_64-apple-darwin17.0 (64-bit)","America/Los_Angeles"
"##------ Sat Oct  3 16:15:45 2020 ------##",2020-10-03 16:15:45,"5.47 sec","176.4 Mb",1,"analysis/src/figures/SM2_bitedata.R","R version 4.0.2 (2020-06-22)","macOS Mojave 10.14.6","x86_64-apple-darwin17.0 (64-bit)","America/Los_Angeles"
"##------ Sat Oct  3 16:16:22 2020 ------##",2020-10-03 16:16:22,"36.26 sec","1.85 Gb",1,"analysis/src/figures/SM3_bitemods.R","R version 4.0.2 (2020-06-22)","macOS Mojave 10.14.6","x86_64-apple-darwin17.0 (64-bit)","America/Los_Angeles"
"##------ Sat Oct  3 16:16:30 2020 ------##",2020-10-03 16:16:30,"7.41 sec","309.8 Mb",1,"analysis/src/figures/SM4_exprange.R","R version 4.0.2 (2020-06-22)","macOS Mojave 10.14.6","x86_64-apple-darwin17.0 (64-bit)","America/Los_Angeles"
"##------ Sat Oct  3 16:19:39 2020 ------##",2020-10-03 16:19:39,"3.15 min","3.92 Gb",1,"analysis/src/figures/SM5_shifts.R","R version 4.0.2 (2020-06-22)","macOS Mojave 10.14.6","x86_64-apple-darwin17.0 (64-bit)","America/Los_Angeles"
"##------ Sat Oct  3 16:20:06 2020 ------##",2020-10-03 16:20:06,"26.65 sec","955.1 Mb",1,"analysis/src/figures/SM6_burden_se.R","R version 4.0.2 (2020-06-22)","macOS Mojave 10.14.6","x86_64-apple-darwin17.0 (64-bit)","America/Los_Angeles"
"##------ Sat Oct  3 16:20:28 2020 ------##",2020-10-03 16:20:28,"21.17 sec","981 Mb",1,"analysis/src/figures/SM6_scaling_se.R","R version 4.0.2 (2020-06-22)","macOS Mojave 10.14.6","x86_64-apple-darwin17.0 (64-bit)","America/Los_Angeles"
"##------ Sat Oct  3 00:24:58 2020 ------##",2020-10-03 00:24:58,"19.9 min","79.3 Mb",17,"analysis/src/03_bitemodels/01_run_bitemods.R","R version 4.0.2 (2020-06-22)","Springdale Linux 7.8 (Verona)","x86_64-redhat-linux-gnu (64-bit)","America/New_York"
"##------ Sat Oct  3 00:52:35 2020 ------##",2020-10-03 00:52:35,"19.91 min","125.6 Mb",5,"analysis/src/03_bitemodels/03_model_se.R","R version 4.0.2 (2020-06-22)","Springdale Linux 7.8 (Verona)","x86_64-redhat-linux-gnu (64-bit)","America/New_York"
"##------ Sat Oct  3 01:13:48 2020 ------##",2020-10-03 01:13:48,"7.71 min","303.5 Mb",30,"analysis/src/04_addclinics/01_ttimes_candidates.R","R version 4.0.2 (2020-06-22)","Springdale Linux 7.8 (Verona)","x86_64-redhat-linux-gnu (64-bit)","America/New_York"
"##------ Sat Oct  3 02:04:31 2020 ------##",2020-10-03 02:04:31,"45.8 min","716 Mb",10,"analysis/src/04_addclinics/02_test_metrics.R","R version 4.0.2 (2020-06-22)","Springdale Linux 7.8 (Verona)","x86_64-redhat-linux-gnu (64-bit)","America/New_York"
"##------ Sat Oct  3 06:52:55 2020 ------##",2020-10-03 06:52:55,"4.5 hr","549.4 Mb",12,"analysis/src/04_addclinics/03_ttimes_added.R","R version 4.0.2 (2020-06-22)","Springdale Linux 7.8 (Verona)","x86_64-redhat-linux-gnu (64-bit)","America/New_York"
"##------ Sat Oct  3 11:23:11 2020 ------##",2020-10-03 11:23:11,"2.86 min","1.6 Gb",5,"analysis/src/04_addclinics/04_postprocess.R","R version 4.0.2 (2020-06-22)","Springdale Linux 7.8 (Verona)","x86_64-redhat-linux-gnu (64-bit)","America/New_York"
"##------ Sat Oct  3 13:26:14 2020 ------##",2020-10-03 13:26:14,"57.32 min","3.48 Gb",29,"analysis/src/05_predictions/01_preds_incremental.R","R version 4.0.2 (2020-06-22)","Springdale Linux 7.8 (Verona)","x86_64-redhat-linux-gnu (64-bit)","America/New_York"
"##------ Sat Oct  3 18:48:59 2020 ------##",2020-10-03 18:48:59,"4.77 hr","813.1 Mb",40,"analysis/src/05_predictions/03_preds_se.R","R version 4.0.2 (2020-06-22)","Springdale Linux 7.8 (Verona)","x86_64-redhat-linux-gnu (64-bit)","America/New_York"
"##------ Sat Oct  3 19:08:46 2020 ------##",2020-10-03 19:08:46,"10.3 min","645.7 Mb",29,"analysis/src/05_predictions/04_scaling_se.R","R version 4.0.2 (2020-06-22)","Springdale Linux 7.8 (Verona)","x86_64-redhat-linux-gnu (64-bit)","America/New_York"
