ran,timestamp,path,R.version,platform,running,data.table,gdistance,Matrix,igraph,rgdal,raster,sp,malariaAtlas,ggplot2,doMPI,Rmpi,iterators,foreach,doParallel,forcats,stringr,dplyr,purrr,readr,tidyr,tibble,tidyverse,rgeos,stringdist,lubridate,geogrid,rjags,coda,ggthemes,glue,wesanderson,boot,doRNG,rngtools,pkgmaker,registry,magrittr,patchwork,scico,rasterVis,latticeExtra,RColorBrewer,lattice
##------ Fri Nov 15 12:37:12 2019 ------##,20191115_123712,R/01_gis/01_get_friction.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,0.0.4,3.2.1,"","","","","","","","","","","","","","","","","","","","","","","","","",,"",,"",,,,,
##------ Fri Nov 15 12:59:29 2019 ------##,20191115_125929,R/01_gis/02_aggregate_WP.R,R version 3.6.1 (2019-07-05),x86_64-redhat-linux-gnu (64-bit),Springdale Linux 7.7 (Verona),1.12.6,"","","",1.4-3,2.8-19,1.3-1,"","",0.2.2,0.6-9,1.0.10,1.4.4,"","","","","","","","","","","","","","","","","","","","","",,"",,"",,,,,
##------ Fri Nov 15 14:20:58 2019 ------##,20191115_142058,R/01_gis/03_run_baseline.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,0.0.4,3.2.1,"","",1.0.12,1.4.7,1.0.15,0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"","","","","","","","","","","","",,"",,"",,,,,
##------ Fri Nov 15 14:28:34 2019 ------##,20191115_142834,R/01_gis/04_make_shapefiles.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"","","","","","","","","",0.8.3,"","","","","",0.5-2,"","","","","","","","","","","",,"",,"",,,,,
##------ Fri Nov 15 19:03:16 2019 ------##,20191115_190316,R/02_bitedata/01_match_names.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"","","","","","","","","",0.8.3,"","","","","",0.5-2,0.9.5.2,"","","","","","","","","","",,"",,"",,,,,
##------ Fri Nov 15 19:28:53 2019 ------##,20191115_192853,R/02_bitedata/01_match_names.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"","","","","","","","","",0.8.3,"","","","","",0.5-2,0.9.5.2,1.7.4,"","","","","","","","","",,"",,"",,,,,
##------ Sat Nov 16 15:56:44 2019 ------##,20191116_155644,R/02_bitedata/01_match_names.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,"","","","","",0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,0.9.5.2,1.7.4,"","","","","","","","","",,"",,"",,,,,
##------ Sat Nov 16 15:57:22 2019 ------##,20191116_155722,R/02_bitedata/01_match_names.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,"","","","","",0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,0.9.5.2,1.7.4,"","","","","","","","","",,"",,"",,,,,
##------ Sat Nov 16 16:50:48 2019 ------##,20191116_165048,R/02_bitedata/01_match_names.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,"","","","","",0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,0.9.5.2,1.7.4,0.1.1,"","","","","","","","",,"",,"",,,,,
##------ Sat Nov 16 16:51:38 2019 ------##,20191116_165138,R/02_bitedata/01_match_names.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,"","","","","",0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,0.9.5.2,1.7.4,0.1.1,"","","","","","","","",,"",,"",,,,,
